"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Travis Willingham","Grog",6,170000,1273000,1170000,2,9,1170,19.5,2.83333333333333,21.2166666666667,72.1776681061073
"Ashley Johnson","Pike",6,168000,1289000,1055000,2,9,1055,17.5833333333333,2.8,21.4833333333333,65.0832819247378
"Sam Riegel","Scanlan",5,170000,1230000,871000,2,9,871,14.5166666666667,2.83333333333333,20.5,53.7322640345466
"Henry Winkler","Wilhand Trickfoot",4,433000,1341000,707000,2,9,707,11.7833333333333,7.21666666666667,22.35,43.6150524367674
"Aisling Franciosi","Kaylie",4,524000,1231000,594000,2,9,594,9.9,8.73333333333333,20.5166666666667,36.6440468846391
"Abubakar Salim","Zanror",4,486000,1444000,5e+05,2,9,500,8.33333333333333,8.1,24.0666666666667,30.8451573103023
"Matthew Mercer","Dr. Dranzel",3,864000,1234000,423000,2,9,423,7.05,14.4,20.5666666666667,26.0950030845157
"Ralph Ineson","Kevdak",4,650000,1437000,414000,2,9,414,6.9,10.8333333333333,23.95,25.5397902529303
"Matthew Mercer","Umbrasyl",2,849000,1007000,378000,2,9,378,6.3,14.15,16.7833333333333,23.3189389265885
"Kelly Hu","Anna Ripley",2,965000,1020000,249000,2,9,249,4.15,16.0833333333333,17,15.3608883405305
