"character_name","season","actors","num_actors","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Percival",1,"Taliesin Jaffe",1,12,81,11590000,11590,193.166666666667,16.0972222222222,1,12
"Grog",1,"Travis Willingham",1,12,74,11451000,11451,190.85,15.9041666666667,1,12
"Vax'ildan",1,"Liam O'Brien",1,12,76,11065000,11065,184.416666666667,15.3680555555556,1,12
"Keyleth",1,"Marisha Ray",1,12,72,11010000,11010,183.5,15.2916666666667,1,12
"Vex'ahlia",1,"Laura Bailey",1,12,75,10897000,10897,181.616666666667,15.1347222222222,1,12
"Scanlan",1,"Sam Riegel",1,12,69,10681000,10681,178.016666666667,14.8347222222222,1,12
"Pike",1,"Ashley Johnson",1,11,49,7780000,7780,129.666666666667,11.7878787878788,1,12
"Cassandra de Rolo",1,"Esmé Creed-Miles / Grey DeLisle",2,6,36,4085000,4085,68.0833333333333,11.3472222222222,7,12
"Deliliah Briarwood",1,"Grey DeLisle",1,10,30,3343000,3343,55.7166666666667,5.57166666666667,2,12
"Sylas Briarwood",1,"Matthew Mercer",1,9,26,2497000,2497,41.6166666666667,4.62407407407407,2,12
"Trinket",1,"Matthew Mercer",1,4,10,1461000,1461,24.35,6.0875,1,4
"Duke Vedmire",1,"Rory McCann",1,3,9,1446000,1446,24.1,8.03333333333333,6,9
"Anna Ripley",1,"Kelly Hu",1,2,8,1314000,1314,21.9,10.95,10,11
"Lady Allura Vysoren",1,"Indira Varma",1,4,10,1246000,1246,20.7666666666667,5.19166666666667,1,4
"Archie",1,"Dominic Monaghan",1,2,9,1243000,1243,20.7166666666667,10.3583333333333,6,7
"General Krieg",1,"David Tennant",1,2,6,1087000,1087,18.1166666666667,9.05833333333333,1,2
"Sovereign Uriel",1,"Khary Payton",1,5,11,1051000,1051,17.5166666666667,3.50333333333333,1,12
"Professor Anders",1,"Stephen Root",1,4,10,1044000,1044,17.4,4.35,5,12
"Keeper Yennen",1,"Gina Torres",1,4,6,990000,990,16.5,4.125,6,12
"Stonefell",1,"Darin De Paul",1,2,6,836000,836,13.9333333333333,6.96666666666667,6,12
"Captain Jarett",1,"Eugene Byrd",1,1,5,794000,794,13.2333333333333,13.2333333333333,4,4
"Sir Fince",1,"Tony Hale",1,2,5,732000,732,12.2,6.1,1,2
"Lady Kima of Vord",1,"Stephanie Beatriz",1,3,6,667000,667,11.1166666666667,3.70555555555556,1,3
"Head Cleric",1,"Anjali Bhimani",1,3,5,621000,621,10.35,3.45,5,8
"Archibald Desnay",1,"Dominic Monaghan",1,1,3,592000,592,9.86666666666667,9.86666666666667,9,9
"Rebel",1,"Matthew Mercer",1,2,4,540000,540,9,4.5,6,9
"Orthax",1,"Matthew Mercer",1,1,3,508000,508,8.46666666666667,8.46666666666667,12,12
"Gilmore",1,"Sunil Malhotra",1,3,4,421000,421,7.01666666666667,2.33888888888889,2,12
"Desmond",1,"Max Mittelman",1,2,3,340000,340,5.66666666666667,2.83333333333333,2,3
"Palace Guard",1,"Logic / Matthew Mercer",2,2,2,290000,290,4.83333333333333,2.41666666666667,1,2
"Bryn",1,"Stacey Raymond",1,2,2,218000,218,3.63333333333333,1.81666666666667,6,9
"Agar",1,"Matthew Mercer",1,1,2,143000,143,2.38333333333333,2.38333333333333,1,1
"Everlight",1,"Tracie Thoms",1,1,2,141000,141,2.35,2.35,8,8
"Fisherman",1,"Matthew Mercer",1,1,1,97000,97,1.61666666666667,1.61666666666667,1,1
"Captain",1,"Felicia Day",1,1,1,96000,96,1.6,1.6,2,2
"Boy",1,"Maximus Riegel",1,1,1,74000,74,1.23333333333333,1.23333333333333,1,1
"Girl",1,"Zoe O'Brien",1,1,1,74000,74,1.23333333333333,1.23333333333333,1,1
"Steward",1,"Matthew Mercer",1,1,1,67000,67,1.11666666666667,1.11666666666667,8,8
"Bandit 1",1,"Max Mittelman",1,1,1,58000,58,0.966666666666667,0.966666666666667,2,2
"Narrator",1,"Matthew Mercer",1,1,1,55000,55,0.916666666666667,0.916666666666667,1,1
"Bandit 2",1,"Felicia Day",1,1,1,53000,53,0.883333333333333,0.883333333333333,2,2
"Tavern Keeper",1,"Mason Alexander Park",1,1,1,51000,51,0.85,0.85,1,1
"Giant",1,"Matthew Mercer",1,1,1,46000,46,0.766666666666667,0.766666666666667,6,6
"Enemy Archer",1,"Matthew Mercer",1,1,1,42000,42,0.7,0.7,8,8
"Little Girl",1,"Kestrel Riegel",1,1,1,22000,22,0.366666666666667,0.366666666666667,5,5
"Jarrett",1,"Eugene Byrd",1,1,1,16000,16,0.266666666666667,0.266666666666667,12,12
