"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",1,12,1,"Percival",12,1363000,1363,22.7166666666667,83.8769230769231
"Laura Bailey",1,12,1,"Vex'ahlia",10,1353000,1353,22.55,83.2615384615385
"Travis Willingham",1,12,1,"Grog",10,1343000,1343,22.3833333333333,82.6461538461539
"Marisha Ray",1,12,1,"Keyleth",10,1340000,1340,22.3333333333333,82.4615384615385
"Sam Riegel",1,12,1,"Scanlan",10,1290000,1290,21.5,79.3846153846154
"Liam O'Brien",1,12,1,"Vax'ildan",10,1235000,1235,20.5833333333333,76
"Esmé Creed-Miles",1,12,1,"Cassandra de Rolo",7,1027000,1027,17.1166666666667,63.2
"Grey DeLisle",1,12,2,"Deliliah Briarwood, Cassandra de Rolo",6,801000,801,13.35,49.2923076923077
"Matthew Mercer",1,12,2,"Orthax, Sylas Briarwood",4,579000,579,9.65,35.6307692307692
"Ashley Johnson",1,12,1,"Pike",2,201000,201,3.35,12.3692307692308
"Gina Torres",1,12,1,"Keeper Yennen",1,154000,154,2.56666666666667,9.47692307692308
"Sunil Malhotra",1,12,1,"Gilmore",1,138000,138,2.3,8.49230769230769
"Khary Payton",1,12,1,"Sovereign Uriel",1,113000,113,1.88333333333333,6.95384615384615
"Darin De Paul",1,12,1,"Stonefell",2,99000,99,1.65,6.09230769230769
"Stephen Root",1,12,1,"Professor Anders",1,93000,93,1.55,5.72307692307692
"Eugene Byrd",1,12,1,"Jarrett",1,16000,16,0.266666666666667,0.984615384615385
