"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",3,9,1,"Vax'ildan",5,1265000,1265,21.0833333333333,82.2496749024707
"Laura Bailey",3,9,1,"Vex'ahlia",5,1243000,1243,20.7166666666667,80.8192457737321
"Marisha Ray",3,9,1,"Keyleth",5,1226000,1226,20.4333333333333,79.7139141742523
"Lance Reddick",3,9,1,"Thordak",5,1225000,1225,20.4166666666667,79.6488946684005
"Ashley Johnson",3,9,1,"Pike",5,1224000,1224,20.4,79.5838751625488
"Travis Willingham",3,9,1,"Grog",5,1066000,1066,17.7666666666667,69.3107932379714
"Sam Riegel",3,9,1,"Scanlan",5,1010000,1010,16.8333333333333,65.6697009102731
"Mary Elizabeth McGlynn",3,9,1,"Zahra",3,818000,818,13.6333333333333,53.185955786736
"Will Friedle",3,9,1,"Kashaw",2,647000,647,10.7833333333333,42.0676202860858
"Indira Varma",3,9,1,"Lady Allura Vysoren",3,495000,495,8.25,32.184655396619
"Troy Baker",3,9,1,"Syldor",3,495000,495,8.25,32.184655396619
"Ike Amadi",3,9,1,"Earthbreaker Groon",2,484000,484,8.06666666666667,31.4694408322497
"Esmé Creed-Miles",3,9,1,"Cassandra de Rolo",2,470000,470,7.83333333333333,30.5591677503251
"Sunil Malhotra",3,9,1,"Gilmore",2,440000,440,7.33333333333333,28.6085825747724
"Cree Summer",3,9,1,"Raishan",3,319000,319,5.31666666666667,20.74122236671
