"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",2,8,1,"Percival",7,1354000,1354,22.5666666666667,83.2718327183272
"Laura Bailey",2,8,1,"Vex'ahlia",7,1329000,1329,22.15,81.7343173431734
"Marisha Ray",2,8,1,"Keyleth",7,1250000,1250,20.8333333333333,76.8757687576876
"Liam O'Brien",2,8,1,"Vax'ildan",7,1215000,1215,20.25,74.7232472324723
"Billy Boyd",2,8,1,"Garmelie",5,546000,546,9.1,33.5793357933579
"Sendhil Ramamurthy",2,8,1,"Saunder",2,474000,474,7.9,29.1512915129151
"Henry Winkler",2,8,1,"Wilhand Trickfoot",4,410000,410,6.83333333333333,25.2152521525215
"Ashley Johnson",2,8,1,"Pike",4,399000,399,6.65,24.5387453874539
"Sam Riegel",2,8,1,"Scanlan",4,399000,399,6.65,24.5387453874539
"Travis Willingham",2,8,1,"Grog",4,386000,386,6.43333333333333,23.7392373923739
"Troy Baker",2,8,1,"Syldor",2,365000,365,6.08333333333333,22.4477244772448
"Jayla Lavender Nicholas",2,8,1,"Velora",2,307000,307,5.11666666666667,18.8806888068881
"Toks Olagundoye",2,8,1,"Devana",2,305000,305,5.08333333333333,18.7576875768758
