"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Marisha Ray","Keyleth",6,9000,1276000,1144000,3,11,1144,19.0666666666667,0.15,21.2666666666667,72.1766561514196
"Liam O'Brien","Vax'ildan",5,160000,1282000,1077000,3,11,1077,17.95,2.66666666666667,21.3666666666667,67.9495268138801
"Laura Bailey","Vex'ahlia",5,160000,1282000,870000,3,11,870,14.5,2.66666666666667,21.3666666666667,54.8895899053628
"Fred Tatasciore","Korrin",4,14000,775000,838000,3,11,838,13.9666666666667,0.233333333333333,12.9166666666667,52.8706624605678
"Debra Wilson","Pa'tice",4,16000,775000,813000,3,11,813,13.55,0.266666666666667,12.9166666666667,51.2933753943218
"Ashley Johnson","Pike",4,530000,1282000,760000,3,11,760,12.6666666666667,8.83333333333333,21.3666666666667,47.9495268138801
"Travis Willingham","Grog",4,548000,1267000,757000,3,11,757,12.6166666666667,9.13333333333333,21.1166666666667,47.7602523659306
"Sam Riegel","Scanlan",4,548000,1282000,745000,3,11,745,12.4166666666667,9.13333333333333,21.3666666666667,47.0031545741325
"Aisling Franciosi","Kaylie",2,530000,826000,490000,3,11,490,8.16666666666667,8.83333333333333,13.7666666666667,30.9148264984227
"Cree Summer","Raishan",2,524000,1323000,377000,3,11,377,6.28333333333333,8.73333333333333,22.05,23.7854889589905
"Indira Varma","Lady Allura Vysoren",1,534000,534000,240000,3,11,240,4,8.9,8.9,15.1419558359621
"Matthew Mercer","Orthax",1,910000,910000,162000,3,11,162,2.7,15.1666666666667,15.1666666666667,10.2208201892744
