"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Travis Willingham",2,2,1,"Grog",7,1236000,1236,20.6,79.4344473007712
"Taliesin Jaffe",2,2,1,"Percival",7,1140000,1140,19,73.2647814910026
"Ashley Johnson",2,2,1,"Pike",7,1099000,1099,18.3166666666667,70.6298200514139
"Liam O'Brien",2,2,1,"Vax'ildan",7,1072000,1072,17.8666666666667,68.8946015424165
"Marisha Ray",2,2,1,"Keyleth",7,1024000,1024,17.0666666666667,65.8097686375321
"Sam Riegel",2,2,1,"Scanlan",6,879000,879,14.65,56.4910025706941
"Laura Bailey",2,2,1,"Vex'ahlia",5,728000,728,12.1333333333333,46.7866323907455
"Ike Amadi",2,2,1,"Earthbreaker Groon",3,698000,698,11.6333333333333,44.8586118251928
"Will Friedle",2,2,1,"Kashaw",4,567000,567,9.45,36.439588688946
"Matthew Mercer",2,2,3,"Gate Guard, Trinket, Victor",4,478000,478,7.96666666666667,30.719794344473
"Alanna Ubach",2,2,1,"Osysa",2,342000,342,5.7,21.9794344473008
"Mary Elizabeth McGlynn",2,2,1,"Zahra",2,243000,243,4.05,15.6169665809769
"Sumalee Montano",2,2,1,"Highbearer Vord",1,104000,104,1.73333333333333,6.68380462724936
