"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Laura Bailey",1,11,1,"Vex'ahlia",7,1027000,1027,17.1166666666667,72.1714687280394
"Taliesin Jaffe",1,11,1,"Percival",7,1008000,1008,16.8,70.8362614195362
"Liam O'Brien",1,11,1,"Vax'ildan",7,975000,975,16.25,68.5172171468728
"Grey DeLisle",1,11,1,"Deliliah Briarwood",7,955000,955,15.9166666666667,67.1117357695011
"Ashley Johnson",1,11,1,"Pike",7,938000,938,15.6333333333333,65.9170765987351
"Marisha Ray",1,11,1,"Keyleth",6,887000,887,14.7833333333333,62.3330990864371
"Travis Willingham",1,11,1,"Grog",6,885000,885,14.75,62.1925509486999
"Sam Riegel",1,11,1,"Scanlan",7,831000,831,13.85,58.3977512297962
"Matthew Mercer",1,11,1,"Sylas Briarwood",6,682000,682,11.3666666666667,47.9269149683767
"Esmé Creed-Miles",1,11,1,"Cassandra de Rolo",6,674000,674,11.2333333333333,47.364722417428
"Kelly Hu",1,11,1,"Anna Ripley",2,136000,136,2.26666666666667,9.5572733661279
