"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Travis Willingham",2,9,1,"Grog",6,1170000,1170,19.5,72.1776681061073
"Ashley Johnson",2,9,1,"Pike",6,1055000,1055,17.5833333333333,65.0832819247378
"Sam Riegel",2,9,1,"Scanlan",5,871000,871,14.5166666666667,53.7322640345466
"Matthew Mercer",2,9,2,"Dr. Dranzel, Umbrasyl",5,801000,801,13.35,49.4139420111043
"Henry Winkler",2,9,1,"Wilhand Trickfoot",4,707000,707,11.7833333333333,43.6150524367674
"Aisling Franciosi",2,9,1,"Kaylie",4,594000,594,9.9,36.6440468846391
"Abubakar Salim",2,9,1,"Zanror",4,5e+05,500,8.33333333333333,30.8451573103023
"Ralph Ineson",2,9,1,"Kevdak",4,414000,414,6.9,25.5397902529303
"Kelly Hu",2,9,1,"Anna Ripley",2,249000,249,4.15,15.3608883405305
