"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Marisha Ray",3,11,1,"Keyleth",6,1144000,1144,19.0666666666667,72.1766561514196
"Liam O'Brien",3,11,1,"Vax'ildan",5,1077000,1077,17.95,67.9495268138801
"Laura Bailey",3,11,1,"Vex'ahlia",5,870000,870,14.5,54.8895899053628
"Fred Tatasciore",3,11,1,"Korrin",4,838000,838,13.9666666666667,52.8706624605678
"Debra Wilson",3,11,1,"Pa'tice",4,813000,813,13.55,51.2933753943218
"Ashley Johnson",3,11,1,"Pike",4,760000,760,12.6666666666667,47.9495268138801
"Travis Willingham",3,11,1,"Grog",4,757000,757,12.6166666666667,47.7602523659306
"Sam Riegel",3,11,1,"Scanlan",4,745000,745,12.4166666666667,47.0031545741325
"Aisling Franciosi",3,11,1,"Kaylie",2,490000,490,8.16666666666667,30.9148264984227
"Cree Summer",3,11,1,"Raishan",2,377000,377,6.28333333333333,23.7854889589905
"Indira Varma",3,11,1,"Lady Allura Vysoren",1,240000,240,4,15.1419558359621
"Matthew Mercer",3,11,1,"Orthax",1,162000,162,2.7,10.2208201892744
