"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Liam O'Brien","Vax'ildan",6,22000,1178000,1213000,2,1,1213,20.2166666666667,0.366666666666667,19.6333333333333,82.1815718157182
"Ashley Johnson","Pike",6,22000,1178000,1209000,2,1,1209,20.15,0.366666666666667,19.6333333333333,81.9105691056911
"Travis Willingham","Grog",6,22000,1178000,1204000,2,1,1204,20.0666666666667,0.366666666666667,19.6333333333333,81.5718157181572
"Taliesin Jaffe","Percival",6,22000,1178000,1190000,2,1,1190,19.8333333333333,0.366666666666667,19.6333333333333,80.6233062330623
"Marisha Ray","Keyleth",6,22000,1178000,1154000,2,1,1154,19.2333333333333,0.366666666666667,19.6333333333333,78.1842818428184
"Laura Bailey","Vex'ahlia",6,22000,1178000,1139000,2,1,1139,18.9833333333333,0.366666666666667,19.6333333333333,77.1680216802168
"Sam Riegel","Scanlan",5,22000,1198000,1024000,2,1,1024,17.0666666666667,0.366666666666667,19.9666666666667,69.3766937669377
"Sunil Malhotra","Gilmore",6,22000,1230000,1024000,2,1,1024,17.0666666666667,0.366666666666667,20.5,69.3766937669377
"Cree Summer","Raishan",3,69000,478000,622000,2,1,622,10.3666666666667,1.15,7.96666666666667,42.1409214092141
"Lance Reddick","Thordak",4,69000,1313000,440000,2,1,440,7.33333333333333,1.15,21.8833333333333,29.810298102981
"Cree Summer","Salda",2,26000,232000,391000,2,1,391,6.51666666666667,0.433333333333333,3.86666666666667,26.4905149051491
"Esmé Creed-Miles","Cassandra de Rolo",2,982000,1230000,325000,2,1,325,5.41666666666667,16.3666666666667,20.5,22.0189701897019
"Gina Torres","Keeper Yennen",2,982000,1230000,325000,2,1,325,5.41666666666667,16.3666666666667,20.5,22.0189701897019
"Eugene Byrd","Jarrett",2,151000,232000,266000,2,1,266,4.43333333333333,2.51666666666667,3.86666666666667,18.0216802168022
"Indira Varma","Lady Allura Vysoren",1,213000,213000,242000,2,1,242,4.03333333333333,3.55,3.55,16.3956639566396
"Khary Payton","Sovereign Uriel",1,12000,12000,182000,2,1,182,3.03333333333333,0.2,0.2,12.3306233062331
"Liam O'Brien","Vorugal",2,69000,1315000,174000,2,1,174,2.9,1.15,21.9166666666667,11.7886178861789
"Matthew Mercer","Umbrasyl",2,69000,1356000,133000,2,1,133,2.21666666666667,1.15,22.6,9.01084010840108
"Travis Willingham","Grog",6,140000,1243000,1126000,2,10,1126,18.7666666666667,2.33333333333333,20.7166666666667,70.862177470107
"Ashley Johnson","Pike",6,135000,1226000,1060000,2,10,1060,17.6666666666667,2.25,20.4333333333333,66.7086217747011
"Ralph Ineson","Kevdak",5,171000,964000,968000,2,10,968,16.1333333333333,2.85,16.0666666666667,60.9188168659534
"Sam Riegel","Scanlan",6,135000,1233000,942000,2,10,942,15.7,2.25,20.55,59.2825676526117
"Taliesin Jaffe","Percival",5,19000,1243000,797000,2,10,797,13.2833333333333,0.316666666666667,20.7166666666667,50.157331655129
"Marisha Ray","Keyleth",4,16000,1227000,706000,2,10,706,11.7666666666667,0.266666666666667,20.45,44.430459408433
"Laura Bailey","Vex'ahlia",4,26000,954000,660000,2,10,660,11,0.433333333333333,15.9,41.5355569540592
"Liam O'Brien","Vax'ildan",4,25000,954000,651000,2,10,651,10.85,0.416666666666667,15.9,40.9691629955947
"Abubakar Salim","Zanror",3,276000,1243000,606000,2,10,606,10.1,4.6,20.7166666666667,38.1371932032725
"Aisling Franciosi","Kaylie",2,333000,1233000,391000,2,10,391,6.51666666666667,5.55,20.55,24.6066708621775
"Matthew Mercer","Trinket",1,1032000,1032000,193000,2,10,193,3.21666666666667,17.2,17.2,12.1460037759597
"Esmé Creed-Miles","Cassandra de Rolo",1,66000,66000,112000,2,10,112,1.86666666666667,1.1,1.1,7.04845814977974
"Gina Torres","Keeper Yennen",1,66000,66000,112000,2,10,112,1.86666666666667,1.1,1.1,7.04845814977974
"Indira Varma","Lady Allura Vysoren",1,66000,66000,112000,2,10,112,1.86666666666667,1.1,1.1,7.04845814977974
"Sunil Malhotra","Gilmore",1,66000,66000,112000,2,10,112,1.86666666666667,1.1,1.1,7.04845814977974
"Liam O'Brien","Vax'ildan",6,284000,1364000,1063000,2,11,1063,17.7166666666667,4.73333333333333,22.7333333333333,65.0949173300674
"Sam Riegel","Scanlan",6,8000,1365000,940000,2,11,940,15.6666666666667,0.133333333333333,22.75,57.5627679118187
"Marisha Ray","Keyleth",6,284000,1328000,836000,2,11,836,13.9333333333333,4.73333333333333,22.1333333333333,51.1941212492345
"Laura Bailey","Vex'ahlia",5,562000,1322000,675000,2,11,675,11.25,9.36666666666667,22.0333333333333,41.3349663196571
"Aisling Franciosi","Kaylie",5,11000,1116000,594000,2,11,594,9.9,0.183333333333333,18.6,36.3747703612982
"Ashley Johnson","Pike",5,284000,1328000,563000,2,11,563,9.38333333333333,4.73333333333333,22.1333333333333,34.476423759951
"Travis Willingham","Grog",5,299000,1340000,537000,2,11,537,8.95,4.98333333333333,22.3333333333333,32.884262094305
"Taliesin Jaffe","Percival",5,284000,1333000,523000,2,11,523,8.71666666666667,4.73333333333333,22.2166666666667,32.0269442743417
"Abubakar Salim","Zanror",4,565000,1312000,394000,2,11,394,6.56666666666667,9.41666666666667,21.8666666666667,24.1273729332517
"Matthew Mercer","Umbrasyl",3,457000,1424000,333000,2,11,333,5.55,7.61666666666667,23.7333333333333,20.3919167176975
"Kelly Hu","Anna Ripley",2,187000,496000,304000,2,11,304,5.06666666666667,3.11666666666667,8.26666666666667,18.6160440906307
"Courtenay Taylor","Matron of Ravens",1,863000,863000,248000,2,11,248,4.13333333333333,14.3833333333333,14.3833333333333,15.1867728107777
"Lance Reddick","Thordak",1,457000,457000,140000,2,11,140,2.33333333333333,7.61666666666667,7.61666666666667,8.57317819963258
"Matthew Mercer","Dr.Dranzel",1,519000,519000,78000,2,11,78,1.3,8.65,8.65,4.77648499693815
"Laura Bailey","Vex'ahlia",7,180000,1488000,1351000,2,12,1351,22.5166666666667,3,24.8,75.9842519685039
"Marisha Ray","Keyleth",7,180000,1488000,1255000,2,12,1255,20.9166666666667,3,24.8,70.5849268841395
"Taliesin Jaffe","Percival",7,180000,1488000,1237000,2,12,1237,20.6166666666667,3,24.8,69.5725534308211
"Sam Riegel","Scanlan",7,73000,1488000,1216000,2,12,1216,20.2666666666667,1.21666666666667,24.8,68.3914510686164
"Ashley Johnson","Pike",7,180000,1488000,1200000,2,12,1200,20,3,24.8,67.4915635545557
"Liam O'Brien","Vax'ildan",7,91000,1488000,1192000,2,12,1192,19.8666666666667,1.51666666666667,24.8,67.0416197975253
"Matthew Mercer","Umbrasyl",7,103000,1273000,1185000,2,12,1185,19.75,1.71666666666667,21.2166666666667,66.6479190101237
"Travis Willingham","Grog",8,106000,1488000,1167000,2,12,1167,19.45,1.76666666666667,24.8,65.6355455568054
"Kelly Hu","Anna Ripley",2,583000,1283000,370000,2,12,370,6.16666666666667,9.71666666666667,21.3833333333333,20.8098987626547
"Lance Reddick","Thordak",2,571000,1628000,240000,2,12,240,4,9.51666666666667,27.1333333333333,13.4983127109111
