"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",3,1,2,"Vax'ildan, Vorugal",9,1595000,1595,26.5833333333333,95.9110042092604
"Marisha Ray",3,1,1,"Keyleth",6,1182000,1182,19.7,71.0763680096212
"Taliesin Jaffe",3,1,1,"Percival",7,1046000,1046,17.4333333333333,62.8983764281419
"Travis Willingham",3,1,1,"Grog",5,981000,981,16.35,58.9897775105232
"Sam Riegel",3,1,1,"Scanlan",6,976000,976,16.2666666666667,58.6891160553217
"Laura Bailey",3,1,1,"Vex'ahlia",6,910000,910,15.1666666666667,54.7203848466627
"Ashley Johnson",3,1,1,"Pike",5,890000,890,14.8333333333333,53.5177390258569
"Sunil Malhotra",3,1,1,"Gilmore",4,603000,603,10.05,36.259771497294
"Lance Reddick",3,1,1,"Thordak",4,540000,540,9,32.4714371617559
"Cree Summer",3,1,1,"Raishan",4,424000,424,7.06666666666667,25.4960914010824
"Gina Torres",3,1,1,"Keeper Yennen",2,404000,404,6.73333333333333,24.2934455802766
"Esmé Creed-Miles",3,1,1,"Cassandra de Rolo",1,71000,71,1.18333333333333,4.26939266386049
"Kelly Hu",3,1,1,"Anna Ripley",1,43000,43,0.716666666666667,2.58568851473241
"Matthew Mercer",3,1,1,"Trinket",1,32000,32,0.533333333333333,1.92423331328924
