"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",2,11,1,"Vax'ildan",6,1063000,1063,17.7166666666667,65.0949173300674
"Sam Riegel",2,11,1,"Scanlan",6,940000,940,15.6666666666667,57.5627679118187
"Marisha Ray",2,11,1,"Keyleth",6,836000,836,13.9333333333333,51.1941212492345
"Laura Bailey",2,11,1,"Vex'ahlia",5,675000,675,11.25,41.3349663196571
"Aisling Franciosi",2,11,1,"Kaylie",5,594000,594,9.9,36.3747703612982
"Ashley Johnson",2,11,1,"Pike",5,563000,563,9.38333333333333,34.476423759951
"Travis Willingham",2,11,1,"Grog",5,537000,537,8.95,32.884262094305
"Taliesin Jaffe",2,11,1,"Percival",5,523000,523,8.71666666666667,32.0269442743417
"Matthew Mercer",2,11,2,"Umbrasyl, Dr.Dranzel",4,411000,411,6.85,25.1684017146356
"Abubakar Salim",2,11,1,"Zanror",4,394000,394,6.56666666666667,24.1273729332517
"Kelly Hu",2,11,1,"Anna Ripley",2,304000,304,5.06666666666667,18.6160440906307
"Courtenay Taylor",2,11,1,"Matron of Ravens",1,248000,248,4.13333333333333,15.1867728107777
"Lance Reddick",2,11,1,"Thordak",1,140000,140,2.33333333333333,8.57317819963258
