"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Laura Bailey","Vex'ahlia",6,153000,1282000,1252000,2,3,1252,20.8666666666667,2.55,21.3666666666667,80.3078896728672
"Ashley Johnson","Pike",7,16000,1358000,1231000,2,3,1231,20.5166666666667,0.266666666666667,22.6333333333333,78.9608723540731
"Travis Willingham","Grog",6,153000,1358000,1072000,2,3,1072,17.8666666666667,2.55,22.6333333333333,68.7620269403464
"Taliesin Jaffe","Percival",5,153000,1282000,1003000,2,3,1003,16.7166666666667,2.55,21.3666666666667,64.3361128928801
"Marisha Ray","Keyleth",5,153000,1358000,925000,2,3,925,15.4166666666667,2.55,22.6333333333333,59.3329057087877
"Mary Elizabeth McGlynn","Zahra",5,316000,1136000,874000,2,3,874,14.5666666666667,5.26666666666667,18.9333333333333,56.0615779345734
"Liam O'Brien","Vax'ildan",5,198000,1386000,867000,2,3,867,14.45,3.3,23.1,55.6125721616421
"Sam Riegel","Scanlan",5,153000,1358000,777000,2,3,777,12.95,2.55,22.6333333333333,49.8396407953817
"Will Friedle","Kashaw",4,316000,1136000,655000,2,3,655,10.9166666666667,5.26666666666667,18.9333333333333,42.0141116100064
"Matthew Mercer","Trinket",4,153000,1382000,435000,2,3,435,7.25,2.55,23.0333333333333,27.902501603592
"Lance Reddick","Thordak",2,27000,145000,253000,2,3,253,4.21666666666667,0.45,2.41666666666667,16.2283515073765
"Cree Summer","Raishan",1,44000,44000,33000,2,3,33,0.55,0.733333333333333,0.733333333333333,2.11674150096216
"Matthew Mercer","Umbrasyl",1,44000,44000,33000,2,3,33,0.55,0.733333333333333,0.733333333333333,2.11674150096216
