"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Taliesin Jaffe","Percival",6,184000,1235000,1171000,3,3,1171,19.5166666666667,3.06666666666667,20.5833333333333,74.0202275600506
"Laura Bailey","Vex'ahlia",6,188000,1235000,1157000,3,3,1157,19.2833333333333,3.13333333333333,20.5833333333333,73.1352718078382
"Indira Varma","Lady Allura Vysoren",4,234000,1235000,791000,3,3,791,13.1833333333333,3.9,20.5833333333333,50
"Stephanie Beatriz","Lady Kima of Vord",4,234000,1235000,791000,3,3,791,13.1833333333333,3.9,20.5833333333333,50
"Rachel House","Dohla",3,687000,1257000,683000,3,3,683,11.3833333333333,11.45,20.95,43.173198482933
"Liam O'Brien","Vax'ildan",4,204000,648000,547000,3,3,547,9.11666666666667,3.4,10.8,34.5764854614412
"Liam O'Brien","Vorugal",3,22000,1244000,534000,3,3,534,8.9,0.366666666666667,20.7333333333333,33.7547408343869
"Marisha Ray","Keyleth",4,207000,648000,491000,3,3,491,8.18333333333333,3.45,10.8,31.0366624525917
"Sam Riegel","Scanlan",3,207000,648000,472000,3,3,472,7.86666666666667,3.45,10.8,29.8356510745891
"Ashley Johnson","Pike",2,499000,648000,411000,3,3,411,6.85,8.31666666666667,10.8,25.9797724399494
"Travis Willingham","Grog",3,185000,648000,393000,3,3,393,6.55,3.08333333333333,10.8,24.8419721871049
"Esmé Creed-Miles","Cassandra de Rolo",2,234000,285000,255000,3,3,255,4.25,3.9,4.75,16.1188369152971
"Cree Summer","Raishan",2,19000,615000,103000,3,3,103,1.71666666666667,0.316666666666667,10.25,6.51074589127686
"Lance Reddick","Thordak",1,13000,13000,86000,3,3,86,1.43333333333333,0.216666666666667,0.216666666666667,5.43615676359039
"Eugene Byrd","Jarett",1,609000,609000,29000,3,3,29,0.483333333333333,10.15,10.15,1.83312262958281
