"character_name","actors","num_actors","seasons_appeared","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","total_screen_time_hours","avg_screen_time_per_episode_min","first_season","last_season"
"Katari","Matthew Mercer",1,1,1,1,314000,314,5.23333333333333,0.0872222222222222,5.23333333333333,3,3
"Velora","Jayla Lavender Nicholas",1,1,1,2,307000,307,5.11666666666667,0.0852777777777778,5.11666666666667,2,2
"Devana","Toks Olagundoye",1,1,1,2,305000,305,5.08333333333333,0.0847222222222222,5.08333333333333,2,2
"Palace Guard","Logic / Matthew Mercer",2,1,2,2,290000,290,4.83333333333333,0.0805555555555555,2.41666666666667,1,1
"Jarrett","Eugene Byrd",1,2,2,3,282000,282,4.7,0.0783333333333333,2.35,1,2
"Uvenda","Tamara Podemski",1,1,1,2,274000,274,4.56666666666667,0.0761111111111111,4.56666666666667,3,3
"Bryn","Stacey Raymond",1,1,2,2,218000,218,3.63333333333333,0.0605555555555556,1.81666666666667,1,1
"Gate Guard","Matthew Mercer",1,1,1,1,215000,215,3.58333333333333,0.0597222222222222,3.58333333333333,2,2
"Drake Thunderbrand","Matthew Mercer",1,1,1,1,145000,145,2.41666666666667,0.0402777777777778,2.41666666666667,3,3
"Agar","Matthew Mercer",1,1,1,2,143000,143,2.38333333333333,0.0397222222222222,2.38333333333333,1,1
"Everlight","Tracie Thoms",1,1,1,2,141000,141,2.35,0.0391666666666667,2.35,1,1
"Highbearer Vord","Sumalee Montano",1,1,1,1,104000,104,1.73333333333333,0.0288888888888889,1.73333333333333,2,2
"Vilya","Janet Varney",1,1,1,1,1e+05,100,1.66666666666667,0.0277777777777778,1.66666666666667,2,2
"Fisherman","Matthew Mercer",1,1,1,1,97000,97,1.61666666666667,0.0269444444444444,1.61666666666667,1,1
"Captain","Felicia Day",1,1,1,1,96000,96,1.6,0.0266666666666667,1.6,1,1
"Young Keyleth","Kestrel Riegel",1,1,1,1,95000,95,1.58333333333333,0.0263888888888889,1.58333333333333,2,2
"Dying Man","Matthew Mercer",1,1,1,1,91000,91,1.51666666666667,0.0252777777777778,1.51666666666667,2,2
"Grand daughter","Kestrel Riegel",1,1,1,1,79000,79,1.31666666666667,0.0219444444444444,1.31666666666667,2,2
"Grandson","Maximus Riegel",1,1,1,1,79000,79,1.31666666666667,0.0219444444444444,1.31666666666667,2,2
"Dr.Dranzel","Matthew Mercer",1,1,1,1,78000,78,1.3,0.0216666666666667,1.3,2,2
"Boy","Maximus Riegel",1,1,1,1,74000,74,1.23333333333333,0.0205555555555556,1.23333333333333,1,1
"Girl","Zoe O'Brien",1,1,1,1,74000,74,1.23333333333333,0.0205555555555556,1.23333333333333,1,1
"Steward","Matthew Mercer",1,1,1,1,67000,67,1.11666666666667,0.0186111111111111,1.11666666666667,1,1
"Bandit 1","Max Mittelman",1,1,1,1,58000,58,0.966666666666667,0.0161111111111111,0.966666666666667,1,1
"Narrator","Matthew Mercer",1,1,1,1,55000,55,0.916666666666667,0.0152777777777778,0.916666666666667,1,1
"Bandit 2","Felicia Day",1,1,1,1,53000,53,0.883333333333333,0.0147222222222222,0.883333333333333,1,1
"Tavern Keeper","Mason Alexander Park",1,1,1,1,51000,51,0.85,0.0141666666666667,0.85,1,1
"Victor","Matthew Mercer",1,1,1,1,48000,48,0.8,0.0133333333333333,0.8,2,2
"Giant","Matthew Mercer",1,1,1,1,46000,46,0.766666666666667,0.0127777777777778,0.766666666666667,1,1
"Enemy Archer","Matthew Mercer",1,1,1,1,42000,42,0.7,0.0116666666666667,0.7,1,1
"Jarett","Eugene Byrd",1,1,1,1,29000,29,0.483333333333333,0.00805555555555556,0.483333333333333,3,3
"Little Girl","Kestrel Riegel",1,1,1,1,22000,22,0.366666666666667,0.00611111111111111,0.366666666666667,1,1
