"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Liam O'Brien","Vax'ildan",7,9000,1176000,1319000,3,1,1319,21.9833333333333,0.15,19.6,79.3144918821407
"Marisha Ray","Keyleth",6,172000,1191000,1182000,3,1,1182,19.7,2.86666666666667,19.85,71.0763680096212
"Taliesin Jaffe","Percival",7,225000,1470000,1046000,3,1,1046,17.4333333333333,3.75,24.5,62.8983764281419
"Travis Willingham","Grog",5,172000,1189000,981000,3,1,981,16.35,2.86666666666667,19.8166666666667,58.9897775105232
"Sam Riegel","Scanlan",6,172000,1421000,976000,3,1,976,16.2666666666667,2.86666666666667,23.6833333333333,58.6891160553217
"Laura Bailey","Vex'ahlia",6,9000,1189000,910000,3,1,910,15.1666666666667,0.15,19.8166666666667,54.7203848466627
"Ashley Johnson","Pike",5,172000,1268000,890000,3,1,890,14.8333333333333,2.86666666666667,21.1333333333333,53.5177390258569
"Sunil Malhotra","Gilmore",4,477000,1175000,603000,3,1,603,10.05,7.95,19.5833333333333,36.259771497294
"Lance Reddick","Thordak",4,47000,1125000,540000,3,1,540,9,0.783333333333333,18.75,32.4714371617559
"Cree Summer","Raishan",4,71000,1119000,424000,3,1,424,7.06666666666667,1.18333333333333,18.65,25.4960914010824
"Gina Torres","Keeper Yennen",2,162000,489000,404000,3,1,404,6.73333333333333,2.7,8.15,24.2934455802766
"Liam O'Brien","Vorugal",2,54000,904000,276000,3,1,276,4.6,0.9,15.0666666666667,16.5965123271197
"Esmé Creed-Miles","Cassandra de Rolo",1,497000,497000,71000,3,1,71,1.18333333333333,8.28333333333333,8.28333333333333,4.26939266386049
"Kelly Hu","Anna Ripley",1,1476000,1476000,43000,3,1,43,0.716666666666667,24.6,24.6,2.58568851473241
"Matthew Mercer","Trinket",1,756000,756000,32000,3,1,32,0.533333333333333,12.6,12.6,1.92423331328924
"Laura Bailey","Vex'ahlia",6,8000,1180000,1207000,3,10,1207,20.1166666666667,0.133333333333333,19.6666666666667,76.8789808917197
"Liam O'Brien","Vax'ildan",6,13000,1212000,1128000,3,10,1128,18.8,0.216666666666667,20.2,71.8471337579618
"Marisha Ray","Keyleth",5,13000,1309000,835000,3,10,835,13.9166666666667,0.216666666666667,21.8166666666667,53.1847133757962
"Fred Tatasciore","Korrin",4,371000,1326000,678000,3,10,678,11.3,6.18333333333333,22.1,43.1847133757962
"Debra Wilson","Pa'tice",4,496000,1315000,560000,3,10,560,9.33333333333333,8.26666666666667,21.9166666666667,35.6687898089172
"Matthew Mercer","Katari",1,634000,634000,314000,3,10,314,5.23333333333333,10.5666666666667,10.5666666666667,20
"Tamara Podemski","Uvenda",2,488000,804000,274000,3,10,274,4.56666666666667,8.13333333333333,13.4,17.4522292993631
"Ashley Johnson","Pike",2,13000,158000,261000,3,10,261,4.35,0.216666666666667,2.63333333333333,16.624203821656
"Sam Riegel","Scanlan",1,223000,223000,139000,3,10,139,2.31666666666667,3.71666666666667,3.71666666666667,8.85350318471338
"Matthew Mercer","Dr. Dranzel",1,275000,275000,87000,3,10,87,1.45,4.58333333333333,4.58333333333333,5.54140127388535
"Indira Varma","Lady Allura Vysoren",1,281000,281000,81000,3,10,81,1.35,4.68333333333333,4.68333333333333,5.15923566878981
"Cree Summer","Raishan",1,6000,6000,64000,3,10,64,1.06666666666667,0.1,0.1,4.07643312101911
"Aisling Franciosi","Kaylie",1,307000,307000,55000,3,10,55,0.916666666666667,5.11666666666667,5.11666666666667,3.5031847133758
"Marisha Ray","Keyleth",6,9000,1276000,1144000,3,11,1144,19.0666666666667,0.15,21.2666666666667,72.1766561514196
"Liam O'Brien","Vax'ildan",5,160000,1282000,1077000,3,11,1077,17.95,2.66666666666667,21.3666666666667,67.9495268138801
"Laura Bailey","Vex'ahlia",5,160000,1282000,870000,3,11,870,14.5,2.66666666666667,21.3666666666667,54.8895899053628
