"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Ashley Johnson",1,4,1,"Pike",6,1152000,1152,19.2,77.5757575757576
"Travis Willingham",1,4,1,"Grog",6,1112000,1112,18.5333333333333,74.8821548821549
"Marisha Ray",1,4,1,"Keyleth",6,1001000,1001,16.6833333333333,67.4074074074074
"Taliesin Jaffe",1,4,1,"Percival",6,983000,983,16.3833333333333,66.1952861952862
"Liam O'Brien",1,4,1,"Vax'ildan",5,889000,889,14.8166666666667,59.8653198653199
"Laura Bailey",1,4,1,"Vex'ahlia",5,868000,868,14.4666666666667,58.4511784511785
"Sam Riegel",1,4,1,"Scanlan",4,832000,832,13.8666666666667,56.026936026936
"Eugene Byrd",1,4,1,"Captain Jarett",5,794000,794,13.2333333333333,53.4680134680135
"Matthew Mercer",1,4,2,"Trinket, Sylas Briarwood",6,536000,536,8.93333333333333,36.0942760942761
"Grey DeLisle",1,4,1,"Deliliah Briarwood",3,117000,117,1.95,7.87878787878788
"Khary Payton",1,4,1,"Sovereign Uriel",1,69000,69,1.15,4.64646464646465
"Indira Varma",1,4,1,"Lady Allura Vysoren",1,67000,67,1.11666666666667,4.51178451178451
