"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",3,5,2,"Vorugal, Vax'ildan",6,1289000,1289,21.4833333333333,85.364238410596
"Indira Varma",3,5,1,"Lady Allura Vysoren",5,1107000,1107,18.45,73.3112582781457
"Taliesin Jaffe",3,5,1,"Percival",5,1028000,1028,17.1333333333333,68.0794701986755
"Laura Bailey",3,5,1,"Vex'ahlia",4,1021000,1021,17.0166666666667,67.6158940397351
"Travis Willingham",3,5,1,"Grog",4,978000,978,16.3,64.7682119205298
"Ashley Johnson",3,5,1,"Pike",4,946000,946,15.7666666666667,62.6490066225166
"Sam Riegel",3,5,1,"Scanlan",4,912000,912,15.2,60.3973509933775
"Stephanie Beatriz",3,5,1,"Lady Kima of Vord",4,723000,723,12.05,47.8807947019868
"Marisha Ray",3,5,1,"Keyleth",3,623000,623,10.3833333333333,41.2582781456954
"Matthew Mercer",3,5,1,"Drake Thunderbrand",1,145000,145,2.41666666666667,9.60264900662252
"Rachel House",3,5,1,"Dohla",1,145000,145,2.41666666666667,9.60264900662252
"Lance Reddick",3,5,1,"Thordak",1,107000,107,1.78333333333333,7.08609271523179
"Kelly Hu",3,5,1,"Anna Ripley",1,84000,84,1.4,5.56291390728477
