"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Marisha Ray","Keyleth",7,11000,1295000,1125000,2,7,1125,18.75,0.183333333333333,21.5833333333333,68.976088289393
"Laura Bailey","Vex'ahlia",7,11000,1292000,1116000,2,7,1116,18.6,0.183333333333333,21.5333333333333,68.4242795830779
"Taliesin Jaffe","Percival",7,11000,1324000,1003000,2,7,1003,16.7166666666667,0.183333333333333,22.0666666666667,61.4960147148988
"Liam O'Brien","Vax'ildan",7,11000,1469000,946000,2,7,946,15.7666666666667,0.183333333333333,24.4833333333333,58.0012262415696
"Ashley Johnson","Pike",4,335000,818000,720000,2,7,720,12,5.58333333333333,13.6333333333333,44.1446965052115
"Travis Willingham","Grog",4,317000,818000,716000,2,7,716,11.9333333333333,5.28333333333333,13.6333333333333,43.8994481912937
"Sam Riegel","Scanlan",4,312000,818000,682000,2,7,682,11.3666666666667,5.2,13.6333333333333,41.814837522992
"Billy Boyd","Garmelie",4,549000,1321000,532000,2,7,532,8.86666666666667,9.15,22.0166666666667,32.618025751073
"Cheech Marin","Trinket",2,1094000,1331000,384000,2,7,384,6.4,18.2333333333333,22.1833333333333,23.5438381361128
"Lance Reddick","Thordak",1,1366000,1366000,152000,2,7,152,2.53333333333333,22.7666666666667,22.7666666666667,9.31943592887799
"Matthew Mercer","Umbrasyl",1,1368000,1368000,150000,2,7,150,2.5,22.8,22.8,9.19681177191907
"Kelly Hu","Anna Ripley",1,1401000,1401000,117000,2,7,117,1.95,23.35,23.35,7.17351318209687
