"actor_name","character_name","season","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Marisha Ray","Keyleth",2,11,65,11555000,11555,192.583333333333,17.5075757575758,1,12
"Ashley Johnson","Pike",2,12,69,11545000,11545,192.416666666667,16.0347222222222,1,12
"Liam O'Brien","Vax'ildan",2,11,65,11544000,11544,192.4,17.4909090909091,1,12
"Travis Willingham","Grog",2,12,68,11528000,11528,192.133333333333,16.0111111111111,1,12
"Laura Bailey","Vex'ahlia",2,11,63,11347000,11347,189.116666666667,17.1924242424242,1,12
"Taliesin Jaffe","Percival",2,11,65,11134000,11134,185.566666666667,16.869696969697,1,12
"Sam Riegel","Scanlan",2,12,64,10447000,10447,174.116666666667,14.5097222222222,1,12
"Matthew Mercer","Umbrasyl",2,8,19,2597000,2597,43.2833333333333,5.41041666666667,1,12
"Will Friedle","Kashaw",2,3,13,2201000,2201,36.6833333333333,12.2277777777778,2,4
"Mary Elizabeth McGlynn","Zahra",2,3,12,2070000,2070,34.5,11.5,2,4
"Matthew Mercer","Trinket",2,5,14,2002000,2002,33.3666666666667,6.67333333333333,2,10
"Aisling Franciosi","Kaylie",2,4,13,1773000,1773,29.55,7.3875,9,12
"Abubakar Salim","Zanror",2,3,11,1500000,1500,25,8.33333333333333,9,11
"Ralph Ineson","Kevdak",2,2,9,1382000,1382,23.0333333333333,11.5166666666667,9,10
"Sunil Malhotra","Gilmore",2,3,8,1292000,1292,21.5333333333333,7.17777777777778,1,12
"Lance Reddick","Thordak",2,5,10,1225000,1225,20.4166666666667,4.08333333333333,1,12
"Henry Winkler","Wilhand Trickfoot",2,2,8,1117000,1117,18.6166666666667,9.30833333333333,8,9
"Billy Boyd","Garmelie",2,2,9,1078000,1078,17.9666666666667,8.98333333333333,7,8
"Indira Varma","Lady Allura Vysoren",2,3,6,944000,944,15.7333333333333,5.24444444444444,1,10
"Tony Plana","Kamaljori",2,1,4,938000,938,15.6333333333333,15.6333333333333,6,6
"Kelly Hu","Anna Ripley",2,4,6,8e+05,800,13.3333333333333,3.33333333333333,5,12
"Ike Amadi","Earthbreaker Groon",2,1,3,698000,698,11.6333333333333,11.6333333333333,2,2
"Cree Summer","Raishan",2,2,4,655000,655,10.9166666666667,5.45833333333333,1,3
"Fred Tatasciore","Korrin",2,1,5,629000,629,10.4833333333333,10.4833333333333,5,5
"Gina Torres","Keeper Yennen",2,3,4,609000,609,10.15,3.38333333333333,1,12
"Esmé Creed-Miles","Cassandra de Rolo",2,3,4,605000,605,10.0833333333333,3.36111111111111,1,12
"Stephanie Beatriz","Lady Kima of Vord",2,1,4,499000,499,8.31666666666667,8.31666666666667,5,5
"Sendhil Ramamurthy","Saunder",2,1,2,474000,474,7.9,7.9,8,8
"Matthew Mercer","Dr. Dranzel",2,1,3,423000,423,7.05,7.05,9,9
"Cree Summer","Salda",2,1,2,391000,391,6.51666666666667,6.51666666666667,1,1
"Cheech Marin","Trinket",2,1,2,384000,384,6.4,6.4,7,7
"Robbie Daymond","Cerkonos",2,1,2,379000,379,6.31666666666667,6.31666666666667,5,5
"Troy Baker","Syldor",2,1,2,365000,365,6.08333333333333,6.08333333333333,8,8
"Alanna Ubach","Osysa",2,1,2,342000,342,5.7,5.7,2,2
"Jayla Lavender Nicholas","Velora",2,1,2,307000,307,5.11666666666667,5.11666666666667,8,8
"Toks Olagundoye","Devana",2,1,2,305000,305,5.08333333333333,5.08333333333333,8,8
"Eugene Byrd","Jarrett",2,1,2,266000,266,4.43333333333333,4.43333333333333,1,1
"Kelly Hu","Ripley",2,1,2,249000,249,4.15,4.15,9,9
"Courtenay Taylor","Matron of Ravens",2,1,1,248000,248,4.13333333333333,4.13333333333333,11,11
"Matthew Mercer","Gate Guard",2,1,1,215000,215,3.58333333333333,3.58333333333333,2,2
"Liam O'Brien","Vorugal",2,2,3,204000,204,3.4,1.7,1,12
"Khary Payton","Sovereign Uriel",2,1,1,182000,182,3.03333333333333,3.03333333333333,1,1
"Sumalee Montano","Highbearer Vord",2,1,1,104000,104,1.73333333333333,1.73333333333333,2,2
"Janet Varney","Vilya",2,1,1,1e+05,100,1.66666666666667,1.66666666666667,5,5
"Kestrel Riegel","Young Keyleth",2,1,1,95000,95,1.58333333333333,1.58333333333333,5,5
"Matthew Mercer","Dying Man",2,1,1,91000,91,1.51666666666667,1.51666666666667,4,4
"Kestrel Riegel","Grand daughter",2,1,1,79000,79,1.31666666666667,1.31666666666667,12,12
"Maximus Riegel","Grandson",2,1,1,79000,79,1.31666666666667,1.31666666666667,12,12
"Matthew Mercer","Dr.Dranzel",2,1,1,78000,78,1.3,1.3,11,11
"Matthew Mercer","Victor",2,1,1,48000,48,0.8,0.8,2,2
