"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Travis Willingham","Grog",7,52000,1377000,1236000,2,2,1236,20.6,0.866666666666667,22.95,79.4344473007712
"Taliesin Jaffe","Percival",7,32000,1331000,1140000,2,2,1140,19,0.533333333333333,22.1833333333333,73.2647814910026
"Ashley Johnson","Pike",7,25000,1343000,1099000,2,2,1099,18.3166666666667,0.416666666666667,22.3833333333333,70.6298200514139
"Liam O'Brien","Vax'ildan",7,55000,1331000,1072000,2,2,1072,17.8666666666667,0.916666666666667,22.1833333333333,68.8946015424165
"Marisha Ray","Keyleth",7,25000,1352000,1024000,2,2,1024,17.0666666666667,0.416666666666667,22.5333333333333,65.8097686375321
"Sam Riegel","Scanlan",6,12000,1352000,879000,2,2,879,14.65,0.2,22.5333333333333,56.4910025706941
"Laura Bailey","Vex'ahlia",5,55000,1337000,728000,2,2,728,12.1333333333333,0.916666666666667,22.2833333333333,46.7866323907455
"Ike Amadi","Earthbreaker Groon",3,601000,1088000,698000,2,2,698,11.6333333333333,10.0166666666667,18.1333333333333,44.8586118251928
"Will Friedle","Kashaw",4,512000,1326000,567000,2,2,567,9.45,8.53333333333333,22.1,36.439588688946
"Alanna Ubach","Osysa",2,946000,1115000,342000,2,2,342,5.7,15.7666666666667,18.5833333333333,21.9794344473008
"Mary Elizabeth McGlynn","Zahra",2,704000,1326000,243000,2,2,243,4.05,11.7333333333333,22.1,15.6169665809769
"Matthew Mercer","Gate Guard",1,159000,159000,215000,2,2,215,3.58333333333333,2.65,2.65,13.8174807197943
"Matthew Mercer","Trinket",2,71000,167000,215000,2,2,215,3.58333333333333,1.18333333333333,2.78333333333333,13.8174807197943
"Sumalee Montano","Highbearer Vord",1,270000,270000,104000,2,2,104,1.73333333333333,4.5,4.5,6.68380462724936
"Matthew Mercer","Victor",1,1395000,1395000,48000,2,2,48,0.8,23.25,23.25,3.08483290488432
