"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",3,6,1,"Percival",5,1282000,1282,21.3666666666667,81.8646232439336
"Liam O'Brien",3,6,1,"Vax'ildan",5,1245000,1245,20.75,79.5019157088123
"Laura Bailey",3,6,1,"Vex'ahlia",5,1195000,1195,19.9166666666667,76.309067688378
"Travis Willingham",3,6,1,"Grog",5,1186000,1186,19.7666666666667,75.7343550446999
"Ashley Johnson",3,6,1,"Pike",5,1127000,1127,18.7833333333333,71.9667943805875
"Marisha Ray",3,6,1,"Keyleth",5,1081000,1081,18.0166666666667,69.029374201788
"Indira Varma",3,6,1,"Lady Allura Vysoren",4,861000,861,14.35,54.9808429118774
"Sam Riegel",3,6,1,"Scanlan",3,761000,761,12.6833333333333,48.5951468710089
"Stephanie Beatriz",3,6,1,"Lady Kima of Vord",3,701000,701,11.6833333333333,44.7637292464879
"Gina Torres",3,6,1,"Keeper Yennen",2,562000,562,9.36666666666667,35.8876117496807
"Esmé Creed-Miles",3,6,1,"Cassandra de Rolo",2,384000,384,6.4,24.5210727969349
"Aisling Franciosi",3,6,1,"Kaylie",2,277000,277,4.61666666666667,17.6883780332056
"Cree Summer",3,6,1,"Raishan",1,229000,229,3.81666666666667,14.6232439335888
"Sunil Malhotra",3,6,1,"Gilmore",1,116000,116,1.93333333333333,7.40740740740741
