"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Laura Bailey","Vex'ahlia",6,8000,1180000,1207000,3,10,1207,20.1166666666667,0.133333333333333,19.6666666666667,76.8789808917197
"Liam O'Brien","Vax'ildan",6,13000,1212000,1128000,3,10,1128,18.8,0.216666666666667,20.2,71.8471337579618
"Marisha Ray","Keyleth",5,13000,1309000,835000,3,10,835,13.9166666666667,0.216666666666667,21.8166666666667,53.1847133757962
"Fred Tatasciore","Korrin",4,371000,1326000,678000,3,10,678,11.3,6.18333333333333,22.1,43.1847133757962
"Debra Wilson","Pa'tice",4,496000,1315000,560000,3,10,560,9.33333333333333,8.26666666666667,21.9166666666667,35.6687898089172
"Matthew Mercer","Katari",1,634000,634000,314000,3,10,314,5.23333333333333,10.5666666666667,10.5666666666667,20
"Tamara Podemski","Uvenda",2,488000,804000,274000,3,10,274,4.56666666666667,8.13333333333333,13.4,17.4522292993631
"Ashley Johnson","Pike",2,13000,158000,261000,3,10,261,4.35,0.216666666666667,2.63333333333333,16.624203821656
"Sam Riegel","Scanlan",1,223000,223000,139000,3,10,139,2.31666666666667,3.71666666666667,3.71666666666667,8.85350318471338
"Matthew Mercer","Dr. Dranzel",1,275000,275000,87000,3,10,87,1.45,4.58333333333333,4.58333333333333,5.54140127388535
"Indira Varma","Lady Allura Vysoren",1,281000,281000,81000,3,10,81,1.35,4.68333333333333,4.68333333333333,5.15923566878981
"Cree Summer","Raishan",1,6000,6000,64000,3,10,64,1.06666666666667,0.1,0.1,4.07643312101911
"Aisling Franciosi","Kaylie",1,307000,307000,55000,3,10,55,0.916666666666667,5.11666666666667,5.11666666666667,3.5031847133758
