"actor_name","season","episodes_appeared","characters_played","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min"
"Liam O'Brien",3,12,"Vax'ildan, Vorugal",13922000,13922,232.033333333333,19.3361111111111
"Marisha Ray",3,12,"Keyleth",11834000,11834,197.233333333333,16.4361111111111
"Laura Bailey",3,12,"Vex'ahlia",11486000,11486,191.433333333333,15.9527777777778
"Ashley Johnson",3,12,"Pike",11074000,11074,184.566666666667,15.3805555555556
"Travis Willingham",3,11,"Grog",10072000,10072,167.866666666667,15.2606060606061
"Sam Riegel",3,12,"Scanlan",9264000,9264,154.4,12.8666666666667
"Taliesin Jaffe",3,8,"Percival",6983000,6983,116.383333333333,14.5479166666667
"Indira Varma",3,10,"Lady Allura Vysoren",5498000,5498,91.6333333333333,9.16333333333333
"Stephanie Beatriz",3,5,"Lady Kima of Vord",3547000,3547,59.1166666666667,11.8233333333333
"Sunil Malhotra",3,7,"Gilmore",3428000,3428,57.1333333333333,8.16190476190476
"Cree Summer",3,8,"Raishan",2445000,2445,40.75,5.09375
"Esmé Creed-Miles",3,5,"Cassandra de Rolo",2129000,2129,35.4833333333333,7.09666666666667
"Matthew Mercer",3,8,"Trinket, Katari, Dr. Dranzel, Orthax, Drake Thunderbrand",1966000,1966,32.7666666666667,4.09583333333333
"Lance Reddick",3,4,"Thordak",1958000,1958,32.6333333333333,8.15833333333333
"Gina Torres",3,4,"Keeper Yennen",1806000,1806,30.1,7.525
"Kelly Hu",3,4,"Anna Ripley",1598000,1598,26.6333333333333,6.65833333333333
"Fred Tatasciore",3,2,"Korrin",1516000,1516,25.2666666666667,12.6333333333333
"Debra Wilson",3,2,"Pa'tice",1373000,1373,22.8833333333333,11.4416666666667
"Mary Elizabeth McGlynn",3,2,"Zahra",1139000,1139,18.9833333333333,9.49166666666667
"Ike Amadi",3,2,"Earthbreaker Groon",1116000,1116,18.6,9.3
"Troy Baker",3,2,"Syldor",1083000,1083,18.05,9.025
"Aisling Franciosi",3,4,"Kaylie",1051000,1051,17.5166666666667,4.37916666666667
"Will Friedle",3,2,"Kashaw",973000,973,16.2166666666667,8.10833333333333
"Luis Carazo",3,2,"Zerxus Ilerez",916000,916,15.2666666666667,7.63333333333333
"Rachel House",3,2,"Dohla",828000,828,13.8,6.9
"Robbie Daymond",3,1,"Cerkonos",671000,671,11.1833333333333,11.1833333333333
"Mara Junot",3,1,"J'mon Sa Ord",339000,339,5.65,5.65
"Tamara Podemski",3,1,"Uvenda",274000,274,4.56666666666667,4.56666666666667
"Courtenay Taylor",3,1,"Matron of Ravens",215000,215,3.58333333333333,3.58333333333333
"Kimiko Glenn",3,1,"Anna Ripley",107000,107,1.78333333333333,1.78333333333333
"Eugene Byrd",3,1,"Jarett",29000,29,0.483333333333333,0.483333333333333
