"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Laura Bailey",2,4,1,"Vex'ahlia",6,1263000,1263,21.05,81.0134701731879
"Liam O'Brien",2,4,1,"Vax'ildan",6,1225000,1225,20.4166666666667,78.5760102629891
"Marisha Ray",2,4,1,"Keyleth",5,989000,989,16.4833333333333,63.4381013470173
"Taliesin Jaffe",2,4,1,"Percival",5,982000,982,16.3666666666667,62.989095574086
"Will Friedle",2,4,1,"Kashaw",5,979000,979,16.3166666666667,62.7966645285439
"Mary Elizabeth McGlynn",2,4,1,"Zahra",5,953000,953,15.8833333333333,61.1289288005132
"Ashley Johnson",2,4,1,"Pike",5,870000,870,14.5,55.8050032071841
"Travis Willingham",2,4,1,"Grog",4,806000,806,13.4333333333333,51.6998075689545
"Sam Riegel",2,4,1,"Scanlan",5,723000,723,12.05,46.3758819756254
"Matthew Mercer",2,4,2,"Trinket, Dying Man",4,617000,617,10.2833333333333,39.5766516998076
