"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Ashley Johnson",3,4,1,"Pike",6,1347000,1347,22.45,83.0968537939544
"Travis Willingham",3,4,1,"Grog",6,982000,982,16.3666666666667,60.5798889574337
"Sam Riegel",3,4,1,"Scanlan",6,978000,978,16.3,60.3331276989513
"Marisha Ray",3,4,1,"Keyleth",6,972000,972,16.2,59.9629858112276
"Liam O'Brien",3,4,1,"Vax'ildan",6,967000,967,16.1166666666667,59.6545342381246
"Luis Carazo",3,4,1,"Zerxus Ilerez",2,807000,807,13.45,49.7840838988279
"Indira Varma",3,4,1,"Lady Allura Vysoren",1,207000,207,3.45,12.7698951264651
"Laura Bailey",3,4,1,"Vex'ahlia",1,207000,207,3.45,12.7698951264651
"Taliesin Jaffe",3,4,1,"Percival",1,207000,207,3.45,12.7698951264651
