"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Marisha Ray",2,7,1,"Keyleth",7,1125000,1125,18.75,68.976088289393
"Laura Bailey",2,7,1,"Vex'ahlia",7,1116000,1116,18.6,68.4242795830779
"Taliesin Jaffe",2,7,1,"Percival",7,1003000,1003,16.7166666666667,61.4960147148988
"Liam O'Brien",2,7,1,"Vax'ildan",7,946000,946,15.7666666666667,58.0012262415696
"Ashley Johnson",2,7,1,"Pike",4,720000,720,12,44.1446965052115
"Travis Willingham",2,7,1,"Grog",4,716000,716,11.9333333333333,43.8994481912937
"Sam Riegel",2,7,1,"Scanlan",4,682000,682,11.3666666666667,41.814837522992
"Billy Boyd",2,7,1,"Garmelie",4,532000,532,8.86666666666667,32.618025751073
"Cheech Marin",2,7,1,"Trinket",2,384000,384,6.4,23.5438381361128
"Lance Reddick",2,7,1,"Thordak",1,152000,152,2.53333333333333,9.31943592887799
"Matthew Mercer",2,7,1,"Umbrasyl",1,150000,150,2.5,9.19681177191907
"Kelly Hu",2,7,1,"Anna Ripley",1,117000,117,1.95,7.17351318209687
