"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Laura Bailey",3,10,1,"Vex'ahlia",6,1207000,1207,20.1166666666667,76.8789808917197
"Liam O'Brien",3,10,1,"Vax'ildan",6,1128000,1128,18.8,71.8471337579618
"Marisha Ray",3,10,1,"Keyleth",5,835000,835,13.9166666666667,53.1847133757962
"Fred Tatasciore",3,10,1,"Korrin",4,678000,678,11.3,43.1847133757962
"Debra Wilson",3,10,1,"Pa'tice",4,560000,560,9.33333333333333,35.6687898089172
"Matthew Mercer",3,10,2,"Katari, Dr. Dranzel",2,401000,401,6.68333333333333,25.5414012738853
"Tamara Podemski",3,10,1,"Uvenda",2,274000,274,4.56666666666667,17.4522292993631
"Ashley Johnson",3,10,1,"Pike",2,261000,261,4.35,16.624203821656
"Sam Riegel",3,10,1,"Scanlan",1,139000,139,2.31666666666667,8.85350318471338
"Indira Varma",3,10,1,"Lady Allura Vysoren",1,81000,81,1.35,5.15923566878981
"Cree Summer",3,10,1,"Raishan",1,64000,64,1.06666666666667,4.07643312101911
"Aisling Franciosi",3,10,1,"Kaylie",1,55000,55,0.916666666666667,3.5031847133758
