"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Marisha Ray",3,12,1,"Keyleth",5,1438000,1438,23.9666666666667,82.7387802071346
"Liam O'Brien",3,12,1,"Vax'ildan",4,1347000,1347,22.45,77.5028768699655
"Ashley Johnson",3,12,1,"Pike",4,1239000,1239,20.65,71.288837744534
"Laura Bailey",3,12,1,"Vex'ahlia",4,1175000,1175,19.5833333333333,67.6064441887227
"Sam Riegel",3,12,1,"Scanlan",4,1088000,1088,18.1333333333333,62.6006904487917
"Travis Willingham",3,12,1,"Grog",3,899000,899,14.9833333333333,51.7261219792865
"Indira Varma",3,12,1,"Lady Allura Vysoren",3,822000,822,13.7,47.2957422324511
"Sunil Malhotra",3,12,1,"Gilmore",3,784000,784,13.0666666666667,45.1093210586881
"Stephanie Beatriz",3,12,1,"Lady Kima of Vord",3,751000,751,12.5166666666667,43.210586881473
"Cree Summer",3,12,1,"Raishan",3,728000,728,12.1333333333333,41.8872266973533
"Matthew Mercer",3,12,1,"Orthax",1,312000,312,5.2,17.95166858458
"Aisling Franciosi",3,12,1,"Kaylie",1,229000,229,3.81666666666667,13.1760644418872
"Courtenay Taylor",3,12,1,"Matron of Ravens",1,215000,215,3.58333333333333,12.3705408515535
