"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Sam Riegel","Scanlan",6,168000,1382000,1167000,3,2,1167,19.45,2.8,23.0333333333333,73.2580037664783
"Travis Willingham","Grog",6,180000,1382000,1033000,3,2,1033,17.2166666666667,3,23.0333333333333,64.8462021343377
"Ashley Johnson","Pike",5,171000,1382000,995000,3,2,995,16.5833333333333,2.85,23.0333333333333,62.4607658505964
"Liam O'Brien","Vax'ildan",6,168000,1382000,854000,3,2,854,14.2333333333333,2.8,23.0333333333333,53.609541745135
"Taliesin Jaffe","Percival",6,16000,1343000,821000,3,2,821,13.6833333333333,0.266666666666667,22.3833333333333,51.5379786566227
"Marisha Ray","Keyleth",6,163000,1382000,803000,3,2,803,13.3833333333333,2.71666666666667,23.0333333333333,50.4080351537979
"Sunil Malhotra","Gilmore",4,168000,1182000,701000,3,2,701,11.6833333333333,2.8,19.7,44.0050219711237
"Laura Bailey","Vex'ahlia",5,503000,1342000,682000,3,2,682,11.3666666666667,8.38333333333333,22.3666666666667,42.812303829253
"Kelly Hu","Anna Ripley",5,21000,1297000,625000,3,2,625,10.4166666666667,0.35,21.6166666666667,39.2341494036409
"Mara Junot","J'mon Sa Ord",3,979000,1395000,339000,3,2,339,5.65,16.3166666666667,23.25,21.2806026365348
"Matthew Mercer","Orthax",2,9000,742000,193000,3,2,193,3.21666666666667,0.15,12.3666666666667,12.1155053358443
