"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Laura Bailey",2,3,1,"Vex'ahlia",6,1252000,1252,20.8666666666667,80.3078896728672
"Ashley Johnson",2,3,1,"Pike",7,1231000,1231,20.5166666666667,78.9608723540731
"Travis Willingham",2,3,1,"Grog",6,1072000,1072,17.8666666666667,68.7620269403464
"Taliesin Jaffe",2,3,1,"Percival",5,1003000,1003,16.7166666666667,64.3361128928801
"Marisha Ray",2,3,1,"Keyleth",5,925000,925,15.4166666666667,59.3329057087877
"Mary Elizabeth McGlynn",2,3,1,"Zahra",5,874000,874,14.5666666666667,56.0615779345734
"Liam O'Brien",2,3,1,"Vax'ildan",5,867000,867,14.45,55.6125721616421
"Sam Riegel",2,3,1,"Scanlan",5,777000,777,12.95,49.8396407953817
"Will Friedle",2,3,1,"Kashaw",4,655000,655,10.9166666666667,42.0141116100064
"Matthew Mercer",2,3,2,"Trinket, Umbrasyl",5,468000,468,7.8,30.0192431045542
"Lance Reddick",2,3,1,"Thordak",2,253000,253,4.21666666666667,16.2283515073765
"Cree Summer",2,3,1,"Raishan",1,33000,33,0.55,2.11674150096216
