"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Travis Willingham",2,10,1,"Grog",6,1126000,1126,18.7666666666667,70.862177470107
"Ashley Johnson",2,10,1,"Pike",6,1060000,1060,17.6666666666667,66.7086217747011
"Ralph Ineson",2,10,1,"Kevdak",5,968000,968,16.1333333333333,60.9188168659534
"Sam Riegel",2,10,1,"Scanlan",6,942000,942,15.7,59.2825676526117
"Taliesin Jaffe",2,10,1,"Percival",5,797000,797,13.2833333333333,50.157331655129
"Marisha Ray",2,10,1,"Keyleth",4,706000,706,11.7666666666667,44.430459408433
"Laura Bailey",2,10,1,"Vex'ahlia",4,660000,660,11,41.5355569540592
"Liam O'Brien",2,10,1,"Vax'ildan",4,651000,651,10.85,40.9691629955947
"Abubakar Salim",2,10,1,"Zanror",3,606000,606,10.1,38.1371932032725
"Aisling Franciosi",2,10,1,"Kaylie",2,391000,391,6.51666666666667,24.6066708621775
"Matthew Mercer",2,10,1,"Trinket",1,193000,193,3.21666666666667,12.1460037759597
"Esmé Creed-Miles",2,10,1,"Cassandra de Rolo",1,112000,112,1.86666666666667,7.04845814977974
"Gina Torres",2,10,1,"Keeper Yennen",1,112000,112,1.86666666666667,7.04845814977974
"Indira Varma",2,10,1,"Lady Allura Vysoren",1,112000,112,1.86666666666667,7.04845814977974
"Sunil Malhotra",2,10,1,"Gilmore",1,112000,112,1.86666666666667,7.04845814977974
