"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Marisha Ray",3,8,1,"Keyleth",5,1255000,1255,20.9166666666667,80.2429667519182
"Liam O'Brien",3,8,1,"Vax'ildan",5,1207000,1207,20.1166666666667,77.1739130434783
"Laura Bailey",3,8,1,"Vex'ahlia",5,1099000,1099,18.3166666666667,70.2685421994885
"Travis Willingham",3,8,1,"Grog",5,1065000,1065,17.75,68.0946291560102
"Ashley Johnson",3,8,1,"Pike",5,977000,977,16.2833333333333,62.4680306905371
"Esmé Creed-Miles",3,8,1,"Cassandra de Rolo",4,949000,949,15.8166666666667,60.6777493606138
"Sam Riegel",3,8,1,"Scanlan",5,891000,891,14.85,56.9693094629156
"Robbie Daymond",3,8,1,"Cerkonos",2,671000,671,11.1833333333333,42.9028132992327
"Indira Varma",3,8,1,"Lady Allura Vysoren",4,638000,638,10.6333333333333,40.7928388746803
"Ike Amadi",3,8,1,"Earthbreaker Groon",2,632000,632,10.5333333333333,40.4092071611253
"Troy Baker",3,8,1,"Syldor",2,588000,588,9.8,37.5959079283887
"Gina Torres",3,8,1,"Keeper Yennen",3,584000,584,9.73333333333333,37.3401534526854
"Stephanie Beatriz",3,8,1,"Lady Kima of Vord",4,581000,581,9.68333333333333,37.1483375959079
"Sunil Malhotra",3,8,1,"Gilmore",2,536000,536,8.93333333333333,34.2710997442455
"Will Friedle",3,8,1,"Kashaw",1,326000,326,5.43333333333333,20.843989769821
"Mary Elizabeth McGlynn",3,8,1,"Zahra",1,321000,321,5.35,20.5242966751918
"Taliesin Jaffe",3,8,1,"Percival",2,309000,309,5.15,19.7570332480818
"Matthew Mercer",3,8,1,"Trinket",2,254000,254,4.23333333333333,16.2404092071611
"Cree Summer",3,8,1,"Raishan",1,201000,201,3.35,12.8516624040921
