"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",3,7,1,"Percival",4,1119000,1119,18.65,71.2285168682368
"Ashley Johnson",3,7,1,"Pike",4,897000,897,14.95,57.0973901973265
"Liam O'Brien",3,7,1,"Vax'ildan",4,867000,867,14.45,55.1877784850414
"Kelly Hu",3,7,1,"Anna Ripley",4,846000,846,14.1,53.8510502864418
"Marisha Ray",3,7,1,"Keyleth",3,784000,784,13.0666666666667,49.9045194143857
"Travis Willingham",3,7,1,"Grog",3,732000,732,12.2,46.5945257797581
"Laura Bailey",3,7,1,"Vex'ahlia",3,720000,720,12,45.8306810948441
"Matthew Mercer",3,7,1,"Orthax",2,467000,467,7.78333333333333,29.7262889879058
"Gina Torres",3,7,1,"Keeper Yennen",1,256000,256,4.26666666666667,16.2953532781668
"Indira Varma",3,7,1,"Lady Allura Vysoren",1,256000,256,4.26666666666667,16.2953532781668
"Sunil Malhotra",3,7,1,"Gilmore",1,248000,248,4.13333333333333,15.7861234882241
"Sam Riegel",3,7,1,"Scanlan",1,125000,125,2.08333333333333,7.95671546785487
"Luis Carazo",3,7,1,"Zerxus Ilerez",1,109000,109,1.81666666666667,6.93825588796945
"Kimiko Glenn",3,7,1,"Anna Ripley",1,107000,107,1.78333333333333,6.81094844048377
