"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",3,3,1,"Percival",6,1171000,1171,19.5166666666667,74.0202275600506
"Laura Bailey",3,3,1,"Vex'ahlia",6,1157000,1157,19.2833333333333,73.1352718078382
"Liam O'Brien",3,3,2,"Vax'ildan, Vorugal",7,1081000,1081,18.0166666666667,68.3312262958281
"Indira Varma",3,3,1,"Lady Allura Vysoren",4,791000,791,13.1833333333333,50
"Stephanie Beatriz",3,3,1,"Lady Kima of Vord",4,791000,791,13.1833333333333,50
"Rachel House",3,3,1,"Dohla",3,683000,683,11.3833333333333,43.173198482933
"Marisha Ray",3,3,1,"Keyleth",4,491000,491,8.18333333333333,31.0366624525917
"Sam Riegel",3,3,1,"Scanlan",3,472000,472,7.86666666666667,29.8356510745891
"Ashley Johnson",3,3,1,"Pike",2,411000,411,6.85,25.9797724399494
"Travis Willingham",3,3,1,"Grog",3,393000,393,6.55,24.8419721871049
"Esmé Creed-Miles",3,3,1,"Cassandra de Rolo",2,255000,255,4.25,16.1188369152971
"Cree Summer",3,3,1,"Raishan",2,103000,103,1.71666666666667,6.51074589127686
"Lance Reddick",3,3,1,"Thordak",1,86000,86,1.43333333333333,5.43615676359039
"Eugene Byrd",3,3,1,"Jarett",1,29000,29,0.483333333333333,1.83312262958281
