"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",2,1,2,"Vax'ildan, Vorugal",8,1387000,1387,23.1166666666667,93.970189701897
"Ashley Johnson",2,1,1,"Pike",6,1209000,1209,20.15,81.9105691056911
"Travis Willingham",2,1,1,"Grog",6,1204000,1204,20.0666666666667,81.5718157181572
"Taliesin Jaffe",2,1,1,"Percival",6,1190000,1190,19.8333333333333,80.6233062330623
"Marisha Ray",2,1,1,"Keyleth",6,1154000,1154,19.2333333333333,78.1842818428184
"Laura Bailey",2,1,1,"Vex'ahlia",6,1139000,1139,18.9833333333333,77.1680216802168
"Sam Riegel",2,1,1,"Scanlan",5,1024000,1024,17.0666666666667,69.3766937669377
"Sunil Malhotra",2,1,1,"Gilmore",6,1024000,1024,17.0666666666667,69.3766937669377
"Cree Summer",2,1,2,"Raishan, Salda",5,1013000,1013,16.8833333333333,68.6314363143631
"Lance Reddick",2,1,1,"Thordak",4,440000,440,7.33333333333333,29.810298102981
"Esmé Creed-Miles",2,1,1,"Cassandra de Rolo",2,325000,325,5.41666666666667,22.0189701897019
"Gina Torres",2,1,1,"Keeper Yennen",2,325000,325,5.41666666666667,22.0189701897019
"Eugene Byrd",2,1,1,"Jarrett",2,266000,266,4.43333333333333,18.0216802168022
"Indira Varma",2,1,1,"Lady Allura Vysoren",1,242000,242,4.03333333333333,16.3956639566396
"Khary Payton",2,1,1,"Sovereign Uriel",1,182000,182,3.03333333333333,12.3306233062331
"Matthew Mercer",2,1,1,"Umbrasyl",2,133000,133,2.21666666666667,9.01084010840108
