"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Marisha Ray",2,5,1,"Keyleth",6,1134000,1134,18.9,71.9543147208122
"Ashley Johnson",2,5,1,"Pike",6,981000,981,16.35,62.246192893401
"Liam O'Brien",2,5,1,"Vax'ildan",5,928000,928,15.4666666666667,58.8832487309645
"Taliesin Jaffe",2,5,1,"Percival",6,912000,912,15.2,57.8680203045685
"Travis Willingham",2,5,1,"Grog",6,901000,901,15.0166666666667,57.1700507614213
"Sam Riegel",2,5,1,"Scanlan",6,807000,807,13.45,51.2055837563452
"Matthew Mercer",2,5,2,"Trinket, Umbrasyl",5,677000,677,11.2833333333333,42.9568527918782
"Laura Bailey",2,5,1,"Vex'ahlia",5,656000,656,10.9333333333333,41.6243654822335
"Fred Tatasciore",2,5,1,"Korrin",5,629000,629,10.4833333333333,39.9111675126904
"Indira Varma",2,5,1,"Lady Allura Vysoren",4,590000,590,9.83333333333333,37.4365482233503
"Stephanie Beatriz",2,5,1,"Lady Kima of Vord",4,499000,499,8.31666666666667,31.6624365482234
"Robbie Daymond",2,5,1,"Cerkonos",2,379000,379,6.31666666666667,24.0482233502538
"Janet Varney",2,5,1,"Vilya",1,1e+05,100,1.66666666666667,6.34517766497462
"Kestrel Riegel",2,5,1,"Young Keyleth",1,95000,95,1.58333333333333,6.02791878172589
"Kelly Hu",2,5,1,"Anna Ripley",1,9000,9,0.15,0.571065989847716
