"character_name","season","actors","num_actors","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Keyleth",2,"Marisha Ray",1,11,65,11555000,11555,192.583333333333,17.5075757575758,1,12
"Pike",2,"Ashley Johnson",1,12,69,11545000,11545,192.416666666667,16.0347222222222,1,12
"Vax'ildan",2,"Liam O'Brien",1,11,65,11544000,11544,192.4,17.4909090909091,1,12
"Grog",2,"Travis Willingham",1,12,68,11528000,11528,192.133333333333,16.0111111111111,1,12
"Vex'ahlia",2,"Laura Bailey",1,11,63,11347000,11347,189.116666666667,17.1924242424242,1,12
"Percival",2,"Taliesin Jaffe",1,11,65,11134000,11134,185.566666666667,16.869696969697,1,12
"Scanlan",2,"Sam Riegel",1,12,64,10447000,10447,174.116666666667,14.5097222222222,1,12
"Umbrasyl",2,"Matthew Mercer",1,8,19,2597000,2597,43.2833333333333,5.41041666666667,1,12
"Trinket",2,"Matthew Mercer / Cheech Marin",2,6,16,2386000,2386,39.7666666666667,6.62777777777778,2,10
"Kashaw",2,"Will Friedle",1,3,13,2201000,2201,36.6833333333333,12.2277777777778,2,4
"Zahra",2,"Mary Elizabeth McGlynn",1,3,12,2070000,2070,34.5,11.5,2,4
"Kaylie",2,"Aisling Franciosi",1,4,13,1773000,1773,29.55,7.3875,9,12
"Zanror",2,"Abubakar Salim",1,3,11,1500000,1500,25,8.33333333333333,9,11
"Kevdak",2,"Ralph Ineson",1,2,9,1382000,1382,23.0333333333333,11.5166666666667,9,10
"Gilmore",2,"Sunil Malhotra",1,3,8,1292000,1292,21.5333333333333,7.17777777777778,1,12
"Thordak",2,"Lance Reddick",1,5,10,1225000,1225,20.4166666666667,4.08333333333333,1,12
"Wilhand Trickfoot",2,"Henry Winkler",1,2,8,1117000,1117,18.6166666666667,9.30833333333333,8,9
"Garmelie",2,"Billy Boyd",1,2,9,1078000,1078,17.9666666666667,8.98333333333333,7,8
"Anna Ripley",2,"Kelly Hu",1,5,8,1049000,1049,17.4833333333333,3.49666666666667,5,12
"Lady Allura Vysoren",2,"Indira Varma",1,3,6,944000,944,15.7333333333333,5.24444444444444,1,10
"Kamaljori",2,"Tony Plana",1,1,4,938000,938,15.6333333333333,15.6333333333333,6,6
"Earthbreaker Groon",2,"Ike Amadi",1,1,3,698000,698,11.6333333333333,11.6333333333333,2,2
"Raishan",2,"Cree Summer",1,2,4,655000,655,10.9166666666667,5.45833333333333,1,3
"Korrin",2,"Fred Tatasciore",1,1,5,629000,629,10.4833333333333,10.4833333333333,5,5
"Keeper Yennen",2,"Gina Torres",1,3,4,609000,609,10.15,3.38333333333333,1,12
"Cassandra de Rolo",2,"Esmé Creed-Miles",1,3,4,605000,605,10.0833333333333,3.36111111111111,1,12
"Lady Kima of Vord",2,"Stephanie Beatriz",1,1,4,499000,499,8.31666666666667,8.31666666666667,5,5
"Saunder",2,"Sendhil Ramamurthy",1,1,2,474000,474,7.9,7.9,8,8
"Dr. Dranzel",2,"Matthew Mercer",1,1,3,423000,423,7.05,7.05,9,9
"Salda",2,"Cree Summer",1,1,2,391000,391,6.51666666666667,6.51666666666667,1,1
"Cerkonos",2,"Robbie Daymond",1,1,2,379000,379,6.31666666666667,6.31666666666667,5,5
"Syldor",2,"Troy Baker",1,1,2,365000,365,6.08333333333333,6.08333333333333,8,8
"Osysa",2,"Alanna Ubach",1,1,2,342000,342,5.7,5.7,2,2
"Velora",2,"Jayla Lavender Nicholas",1,1,2,307000,307,5.11666666666667,5.11666666666667,8,8
"Devana",2,"Toks Olagundoye",1,1,2,305000,305,5.08333333333333,5.08333333333333,8,8
"Jarrett",2,"Eugene Byrd",1,1,2,266000,266,4.43333333333333,4.43333333333333,1,1
"Matron of Ravens",2,"Courtenay Taylor",1,1,1,248000,248,4.13333333333333,4.13333333333333,11,11
"Gate Guard",2,"Matthew Mercer",1,1,1,215000,215,3.58333333333333,3.58333333333333,2,2
"Vorugal",2,"Liam O'Brien",1,2,3,204000,204,3.4,1.7,1,12
"Sovereign Uriel",2,"Khary Payton",1,1,1,182000,182,3.03333333333333,3.03333333333333,1,1
"Highbearer Vord",2,"Sumalee Montano",1,1,1,104000,104,1.73333333333333,1.73333333333333,2,2
"Vilya",2,"Janet Varney",1,1,1,1e+05,100,1.66666666666667,1.66666666666667,5,5
"Young Keyleth",2,"Kestrel Riegel",1,1,1,95000,95,1.58333333333333,1.58333333333333,5,5
"Dying Man",2,"Matthew Mercer",1,1,1,91000,91,1.51666666666667,1.51666666666667,4,4
"Grand daughter",2,"Kestrel Riegel",1,1,1,79000,79,1.31666666666667,1.31666666666667,12,12
"Grandson",2,"Maximus Riegel",1,1,1,79000,79,1.31666666666667,1.31666666666667,12,12
"Dr.Dranzel",2,"Matthew Mercer",1,1,1,78000,78,1.3,1.3,11,11
"Victor",2,"Matthew Mercer",1,1,1,48000,48,0.8,0.8,2,2
