"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Indira Varma","Lady Allura Vysoren",5,7000,1327000,1107000,3,5,1107,18.45,0.116666666666667,22.1166666666667,73.3112582781457
"Taliesin Jaffe","Percival",5,128000,1335000,1028000,3,5,1028,17.1333333333333,2.13333333333333,22.25,68.0794701986755
"Laura Bailey","Vex'ahlia",4,242000,1318000,1021000,3,5,1021,17.0166666666667,4.03333333333333,21.9666666666667,67.6158940397351
"Travis Willingham","Grog",4,321000,1313000,978000,3,5,978,16.3,5.35,21.8833333333333,64.7682119205298
"Ashley Johnson","Pike",4,325000,1307000,946000,3,5,946,15.7666666666667,5.41666666666667,21.7833333333333,62.6490066225166
"Sam Riegel","Scanlan",4,314000,1327000,912000,3,5,912,15.2,5.23333333333333,22.1166666666667,60.3973509933775
"Stephanie Beatriz","Lady Kima of Vord",4,7000,1327000,723000,3,5,723,12.05,0.116666666666667,22.1166666666667,47.8807947019868
"Liam O'Brien","Vorugal",3,147000,877000,650000,3,5,650,10.8333333333333,2.45,14.6166666666667,43.046357615894
"Liam O'Brien","Vax'ildan",3,634000,1322000,639000,3,5,639,10.65,10.5666666666667,22.0333333333333,42.317880794702
"Marisha Ray","Keyleth",3,650000,1322000,623000,3,5,623,10.3833333333333,10.8333333333333,22.0333333333333,41.2582781456954
"Matthew Mercer","Drake Thunderbrand",1,7000,7000,145000,3,5,145,2.41666666666667,0.116666666666667,0.116666666666667,9.60264900662252
"Rachel House","Dohla",1,7000,7000,145000,3,5,145,2.41666666666667,0.116666666666667,0.116666666666667,9.60264900662252
"Lance Reddick","Thordak",1,1266000,1266000,107000,3,5,107,1.78333333333333,21.1,21.1,7.08609271523179
"Kelly Hu","Anna Ripley",1,1289000,1289000,84000,3,5,84,1.4,21.4833333333333,21.4833333333333,5.56291390728477
