"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Laura Bailey",2,12,1,"Vex'ahlia",7,1351000,1351,22.5166666666667,75.9842519685039
"Marisha Ray",2,12,1,"Keyleth",7,1255000,1255,20.9166666666667,70.5849268841395
"Taliesin Jaffe",2,12,1,"Percival",7,1237000,1237,20.6166666666667,69.5725534308211
"Liam O'Brien",2,12,2,"Vax'ildan, Vorugal",8,1222000,1222,20.3666666666667,68.7289088863892
"Sam Riegel",2,12,1,"Scanlan",7,1216000,1216,20.2666666666667,68.3914510686164
"Ashley Johnson",2,12,1,"Pike",7,1200000,1200,20,67.4915635545557
"Matthew Mercer",2,12,1,"Umbrasyl",7,1185000,1185,19.75,66.6479190101237
"Travis Willingham",2,12,1,"Grog",8,1167000,1167,19.45,65.6355455568054
"Kelly Hu",2,12,1,"Anna Ripley",2,370000,370,6.16666666666667,20.8098987626547
"Lance Reddick",2,12,1,"Thordak",2,240000,240,4,13.4983127109111
"Aisling Franciosi",2,12,1,"Kaylie",2,194000,194,3.23333333333333,10.9111361079865
"Gina Torres",2,12,1,"Keeper Yennen",1,172000,172,2.86666666666667,9.67379077615298
"Esmé Creed-Miles",2,12,1,"Cassandra de Rolo",1,168000,168,2.8,9.44881889763779
"Sunil Malhotra",2,12,1,"Gilmore",1,156000,156,2.6,8.77390326209224
"Kestrel Riegel",2,12,1,"Grand daughter",1,79000,79,1.31666666666667,4.44319460067492
"Maximus Riegel",2,12,1,"Grandson",1,79000,79,1.31666666666667,4.44319460067492
