"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Sam Riegel",3,2,1,"Scanlan",6,1167000,1167,19.45,73.2580037664783
"Travis Willingham",3,2,1,"Grog",6,1033000,1033,17.2166666666667,64.8462021343377
"Ashley Johnson",3,2,1,"Pike",5,995000,995,16.5833333333333,62.4607658505964
"Liam O'Brien",3,2,1,"Vax'ildan",6,854000,854,14.2333333333333,53.609541745135
"Taliesin Jaffe",3,2,1,"Percival",6,821000,821,13.6833333333333,51.5379786566227
"Marisha Ray",3,2,1,"Keyleth",6,803000,803,13.3833333333333,50.4080351537979
"Sunil Malhotra",3,2,1,"Gilmore",4,701000,701,11.6833333333333,44.0050219711237
"Laura Bailey",3,2,1,"Vex'ahlia",5,682000,682,11.3666666666667,42.812303829253
"Kelly Hu",3,2,1,"Anna Ripley",5,625000,625,10.4166666666667,39.2341494036409
"Mara Junot",3,2,1,"J'mon Sa Ord",3,339000,339,5.65,21.2806026365348
"Matthew Mercer",3,2,1,"Orthax",2,193000,193,3.21666666666667,12.1155053358443
