"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",1,8,1,"Vax'ildan",7,656000,656,10.9333333333333,44.5349626612356
"Marisha Ray",1,8,1,"Keyleth",7,650000,650,10.8333333333333,44.1276306856755
"Taliesin Jaffe",1,8,1,"Percival",6,630000,630,10.5,42.7698574338086
"Travis Willingham",1,8,1,"Grog",6,575000,575,9.58333333333333,39.0359809911745
"Stephen Root",1,8,1,"Professor Anders",4,574000,574,9.56666666666667,38.9680923285811
"Laura Bailey",1,8,1,"Vex'ahlia",5,519000,519,8.65,35.234215885947
"Esmé Creed-Miles",1,8,1,"Cassandra de Rolo",7,432000,432,7.2,29.3279022403259
"Ashley Johnson",1,8,1,"Pike",3,342000,342,5.7,23.2179226069246
"Anjali Bhimani",1,8,1,"Head Cleric",3,267000,267,4.45,18.1262729124236
"Matthew Mercer",1,8,3,"Steward, Sylas Briarwood, Enemy Archer",3,154000,154,2.56666666666667,10.4548540393754
"Tracie Thoms",1,8,1,"Everlight",2,141000,141,2.35,9.57230142566191
"Sam Riegel",1,8,1,"Scanlan",2,124000,124,2.06666666666667,8.41819416157502
"Grey DeLisle",1,8,1,"Deliliah Briarwood",1,84000,84,1.4,5.70264765784114
