"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Kelly Hu",1,2,1,"Anna Ripley",6,1178000,1178,19.6333333333333,80.5194805194805
"Taliesin Jaffe",1,2,1,"Percival",6,1167000,1167,19.45,79.7676008202324
"Sam Riegel",1,2,1,"Scanlan",5,1128000,1128,18.8,77.1018455228981
"Travis Willingham",1,2,1,"Grog",5,1123000,1123,18.7166666666667,76.7600820232399
"Ashley Johnson",1,2,1,"Pike",4,1055000,1055,17.5833333333333,72.1120984278879
"Marisha Ray",1,2,1,"Keyleth",4,1048000,1048,17.4666666666667,71.6336295283664
"Esmé Creed-Miles",1,2,1,"Cassandra de Rolo",5,909000,909,15.15,62.1326042378674
"Laura Bailey",1,2,1,"Vex'ahlia",4,712000,712,11.8666666666667,48.6671223513329
"Liam O'Brien",1,2,1,"Vax'ildan",4,492000,492,8.2,33.6295283663705
"Gina Torres",1,2,1,"Keeper Yennen",1,430000,430,7.16666666666667,29.3916609706083
"Grey DeLisle",1,2,1,"Deliliah Briarwood",3,208000,208,3.46666666666667,14.2173615857826
"Matthew Mercer",1,2,1,"Sylas Briarwood",3,208000,208,3.46666666666667,14.2173615857826
