"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Taliesin Jaffe",1,9,1,"Percival",5,9e+05,900,15,60.9756097560976
"Liam O'Brien",1,9,1,"Vax'ildan",5,858000,858,14.3,58.130081300813
"Sam Riegel",1,9,1,"Scanlan",5,851000,851,14.1833333333333,57.6558265582656
"Laura Bailey",1,9,1,"Vex'ahlia",5,820000,820,13.6666666666667,55.5555555555556
"Marisha Ray",1,9,1,"Keyleth",5,817000,817,13.6166666666667,55.3523035230352
"Travis Willingham",1,9,1,"Grog",5,814000,814,13.5666666666667,55.1490514905149
"Darin De Paul",1,9,1,"Stonefell",4,737000,737,12.2833333333333,49.9322493224932
"Dominic Monaghan",1,9,1,"Archie",4,717000,717,11.95,48.5772357723577
"Matthew Mercer",1,9,2,"Rebel, Giant",4,579000,579,9.65,39.2276422764228
"Rory McCann",1,9,1,"Duke Vedmire",2,516000,516,8.6,34.9593495934959
"Gina Torres",1,9,1,"Keeper Yennen",2,336000,336,5.6,22.7642276422764
"Ashley Johnson",1,9,1,"Pike",2,127000,127,2.11666666666667,8.60433604336043
"Stacey Raymond",1,9,1,"Bryn",1,63000,63,1.05,4.26829268292683
"Anjali Bhimani",1,9,1,"Head Cleric",1,34000,34,0.566666666666667,2.30352303523035
"Grey DeLisle",1,9,1,"Deliliah Briarwood",1,17000,17,0.283333333333333,1.15176151761518
