"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Travis Willingham",1,5,1,"Grog",5,1067000,1067,17.7833333333333,63.3986928104575
"Sam Riegel",1,5,1,"Scanlan",5,1064000,1064,17.7333333333333,63.2204396910279
"Ashley Johnson",1,5,1,"Pike",6,1060000,1060,17.6666666666667,62.9827688651218
"Liam O'Brien",1,5,1,"Vax'ildan",6,1053000,1053,17.55,62.5668449197861
"Marisha Ray",1,5,1,"Keyleth",5,928000,928,15.4666666666667,55.1396316102198
"Laura Bailey",1,5,1,"Vex'ahlia",5,916000,916,15.2666666666667,54.4266191325015
"Taliesin Jaffe",1,5,1,"Percival",5,916000,916,15.2666666666667,54.4266191325015
"David Tennant",1,5,1,"General Krieg",4,858000,858,14.3,50.9803921568627
"Tony Hale",1,5,1,"Sir Fince",3,498000,498,8.3,29.5900178253119
"Khary Payton",1,5,1,"Sovereign Uriel",2,286000,286,4.76666666666667,16.9934640522876
"Indira Varma",1,5,1,"Lady Allura Vysoren",2,273000,273,4.55,16.2210338680927
"Stephanie Beatriz",1,5,1,"Lady Kima of Vord",2,273000,273,4.55,16.2210338680927
"Matthew Mercer",1,5,3,"Palace Guard, Sylas Briarwood, Trinket",3,220000,220,3.66666666666667,13.0718954248366
"Felicia Day",1,5,2,"Captain, Bandit 2",2,149000,149,2.48333333333333,8.85323826500297
"Max Mittelman",1,5,2,"Desmond, Bandit 1",2,143000,143,2.38333333333333,8.49673202614379
"Sunil Malhotra",1,5,1,"Gilmore",1,137000,137,2.28333333333333,8.14022578728461
"Grey DeLisle",1,5,1,"Deliliah Briarwood",1,75000,75,1.25,4.45632798573975
