"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Taliesin Jaffe","Percival",5,161000,1266000,9e+05,1,9,900,15,2.68333333333333,21.1,60.9756097560976
"Liam O'Brien","Vax'ildan",5,161000,1271000,858000,1,9,858,14.3,2.68333333333333,21.1833333333333,58.130081300813
"Sam Riegel","Scanlan",5,161000,1278000,851000,1,9,851,14.1833333333333,2.68333333333333,21.3,57.6558265582656
"Laura Bailey","Vex'ahlia",5,161000,1309000,820000,1,9,820,13.6666666666667,2.68333333333333,21.8166666666667,55.5555555555556
"Marisha Ray","Keyleth",5,161000,1312000,817000,1,9,817,13.6166666666667,2.68333333333333,21.8666666666667,55.3523035230352
"Travis Willingham","Grog",5,161000,1315000,814000,1,9,814,13.5666666666667,2.68333333333333,21.9166666666667,55.1490514905149
"Darin De Paul","Stonefell",4,67000,1199000,737000,1,9,737,12.2833333333333,1.11666666666667,19.9833333333333,49.9322493224932
"Dominic Monaghan","Archie",4,10000,1278000,717000,1,9,717,11.95,0.166666666666667,21.3,48.5772357723577
"Matthew Mercer","Rebel",3,8000,798000,533000,1,9,533,8.88333333333333,0.133333333333333,13.3,36.1111111111111
"Rory McCann","Duke Vedmire",2,608000,701000,516000,1,9,516,8.6,10.1333333333333,11.6833333333333,34.9593495934959
"Gina Torres","Keeper Yennen",2,241000,630000,336000,1,9,336,5.6,4.01666666666667,10.5,22.7642276422764
"Ashley Johnson","Pike",2,509000,630000,127000,1,9,127,2.11666666666667,8.48333333333333,10.5,8.60433604336043
"Stacey Raymond","Bryn",1,18000,18000,63000,1,9,63,1.05,0.3,0.3,4.26829268292683
"Matthew Mercer","Giant",1,195000,195000,46000,1,9,46,0.766666666666667,3.25,3.25,3.11653116531165
"Anjali Bhimani","Head Cleric",1,534000,534000,34000,1,9,34,0.566666666666667,8.9,8.9,2.30352303523035
"Grey DeLisle","Deliliah Briarwood",1,1351000,1351000,17000,1,9,17,0.283333333333333,22.5166666666667,22.5166666666667,1.15176151761518
