"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Sam Riegel","Scanlan",7,236000,1225000,846000,1,10,846,14.1,3.93333333333333,20.4166666666667,56.9313593539704
"Taliesin Jaffe","Percival",8,23000,1299000,747000,1,10,747,12.45,0.383333333333333,21.65,50.2691790040377
"Marisha Ray","Keyleth",6,224000,1200000,596000,1,10,596,9.93333333333333,3.73333333333333,20,40.1076716016151
"Travis Willingham","Grog",6,236000,1203000,543000,1,10,543,9.05,3.93333333333333,20.05,36.5410497981158
"Dominic Monaghan","Archie",5,215000,1074000,526000,1,10,526,8.76666666666667,3.58333333333333,17.9,35.3970390309556
"Laura Bailey","Vex'ahlia",6,236000,1200000,522000,1,10,522,8.7,3.93333333333333,20,35.1278600269179
"Liam O'Brien","Vax'ildan",5,235000,1200000,492000,1,10,492,8.2,3.91666666666667,20,33.1090174966353
"Rory McCann","Duke Vedmire",4,762000,1225000,368000,1,10,368,6.13333333333333,12.7,20.4166666666667,24.764468371467
"Stephen Root","Professor Anders",4,6000,1308000,330000,1,10,330,5.5,0.1,21.8,22.207267833109
"Esmé Creed-Miles","Cassandra de Rolo",2,37000,1319000,167000,1,10,167,2.78333333333333,0.616666666666667,21.9833333333333,11.2382234185734
"Grey DeLisle","Cassandra de Rolo",1,63000,63000,80000,1,10,80,1.33333333333333,1.05,1.05,5.3835800807537
