"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",1,8,1,"Vax'ildan",6,1193000,1193,19.8833333333333,79.163901791639
"Marisha Ray",1,8,1,"Keyleth",6,1165000,1165,19.4166666666667,77.3059057730591
"Laura Bailey",1,8,1,"Vex'ahlia",6,1162000,1162,19.3666666666667,77.1068347710683
"Sam Riegel",1,8,1,"Scanlan",4,995000,995,16.5833333333333,66.0252156602522
"Taliesin Jaffe",1,8,1,"Percival",4,995000,995,16.5833333333333,66.0252156602522
"Travis Willingham",1,8,1,"Grog",4,992000,992,16.5333333333333,65.8261446582614
"Ashley Johnson",1,8,1,"Pike",1,324000,324,5.4,21.4996682149967
"Anjali Bhimani",1,8,1,"Head Cleric",1,320000,320,5.33333333333333,21.2342402123424
"Sunil Malhotra",1,8,1,"Gilmore",2,146000,146,2.43333333333333,9.68812209688122
"Grey DeLisle",1,8,1,"Deliliah Briarwood",1,65000,65,1.08333333333333,4.31320504313205
"Stephen Root",1,8,1,"Professor Anders",1,47000,47,0.783333333333333,3.11877903118779
"Matthew Mercer",1,8,1,"Sylas Briarwood",1,44000,44,0.733333333333333,2.91970802919708
"Kestrel Riegel",1,8,1,"Little Girl",1,22000,22,0.366666666666667,1.45985401459854
